
==========================================================================================
RUNNING seed1: happo_v38_coupled_main_seed1_750k_20260916_181709
==========================================================================================

==========================================================================================
RUNNING seed4: happo_v38_coupled_main_seed4_750k_20260916_154023
==========================================================================================

==============================================================================================================
SEED1 vs SEED4 STOCHASTIC GEOMETRY-BASIN DIAGNOSIS
==============================================================================================================
metric                                                 seed1           seed4     seed4-seed1
--------------------------------------------------------------------------------------------------------------
mean_episode_return                                -4.761560      148.923387      153.684947
red_win_rate                                        0.000000        0.070000        0.070000
blue_win_rate                                       0.010000        0.000000       -0.010000
draw_rate                                           0.990000        0.930000       -0.060000
MAV_survival_rate                                   0.990000        1.000000        0.010000
mean_red_attack_kills                               0.000000        1.440000        1.440000
mean_selected_distance_m                         8936.738961     8038.847172     -897.891789
median_selected_distance_m                       8188.180253     6649.674133    -1538.506119
distance_lt_1km_rate                                0.012543        0.041892        0.029349
distance_1_3km_rate                                 0.159464        0.230158        0.070694
distance_3_6km_rate                                 0.143466        0.183055        0.039589
distance_6_9km_rate                                 0.239409        0.182310       -0.057099
distance_gt_9km_rate                                0.445118        0.362585       -0.082533
mean_RA                                            -0.186816        0.029089        0.215905
RA_negative_rate                                    0.754390        0.423289       -0.331101
mean_RD                                             0.327501        0.432175        0.104674
mean_RV                                             0.195159       -0.226686       -0.421845
mean_RA_times_RD                                   -0.021753        0.034352        0.056105
mean_ATA_deg                                      119.693277       96.685788      -23.007489
mean_AA_deg                                        93.933603       78.078106      -15.855497
ATA_lt_30_rate                                      0.145785        0.231300        0.085515
AA_lt_90_rate                                       0.482747        0.646796        0.164049
selected_target_full_gate_step_rate                 0.000000        0.013699        0.013699
target_none_rate                                    0.056746        0.022702       -0.034044
uav_full_gate_episode_rate                          0.000000        0.830000        0.830000
uav_hold2_episode_rate                              0.000000        0.820000        0.820000
uav_hold3_episode_rate                              0.000000        0.750000        0.750000
mean_mav_process_reward_sum                        -4.730506       -5.107278       -0.376773
mean_uav_process_reward_sum                        -1.531911        2.306942        3.838854
mean_shared_event_reward_sum                       -1.400000      141.500000      142.900000
mean_shared_terminal_reward_sum                    -1.000000        7.000000        8.000000
