env_steps,vector_steps,replay_size,critic_updates,actor_updates,environment_steps_per_second,update_calls_in_interval,critic_updates_in_interval,actor_updates_in_interval,target_updates_in_interval,critic1_loss_mean,critic2_loss_mean,q1_mean,q2_mean,target_q_mean,q1_q2_abs_gap_mean,td_error_abs_mean,critic1_grad_norm_pre_clip_mean,critic2_grad_norm_pre_clip_mean,critic1_grad_clipped_fraction,critic2_grad_clipped_fraction,critic1_loss_max,critic2_loss_max,q1_q2_abs_gap_max,td_error_abs_max,critic1_grad_norm_pre_clip_max,critic2_grad_norm_pre_clip_max,actor_loss_mean,sampled_log_prob_mean,deterministic_action_abs_mean,stochastic_action_abs_mean,action_saturation_fraction_mean,actor_grad_norm_pre_clip_mean,actor_grad_clipped_fraction,actor_loss_last,action_saturation_fraction_max,actor_grad_norm_pre_clip_max,completed_episodes,red_complete_elimination_success_rate,mean_red_attack_kills,mean_blue_attack_kills,mean_red_survivors,mean_blue_survivors,mean_red_boundary_deaths,mean_red_collision_deaths,max_steps_rate,mean_episode_length,mean_episode_return
2048,256,2048,0,0,23.145685013260245,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4096,512,4096,0,0,44.11885836738621,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0.0,0.0,0.3333333333333333,0.0,2.3333333333333335,2.6666666666666665,0.0,0.0,444.6666666666667,-107.88715577027808
6144,768,6144,0,0,62.73330737303505,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.0,0.0,0.5,0.5,2.0,2.0,0.0,0.5,573.0,-83.47457728850713
8192,1024,8192,0,0,79.85308883170543,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0.0,0.14285714285714285,0.7142857142857143,0.0,2.5714285714285716,2.2857142857142856,0.0,0.0,445.0,-100.68505071962123
10240,1280,10240,0,0,95.66532606127684,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.0,0.0,0.0,0.0,1.0,2.3333333333333335,0.6666666666666666,0.0,444.0,-107.19837131163028
12288,1536,12288,0,0,110.14425816496349,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0.0,0.0,0.8,0.0,2.6,2.2,0.0,0.0,473.4,-102.5413873748912
14336,1792,14336,0,0,122.83585303096714,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.0,0.0,1.0,0.0,2.5,2.0,0.0,0.0,452.75,-100.84415000221452
16384,2048,16384,0,0,134.51511983543747,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.0,0.0,0.25,0.0,3.0,2.75,0.0,0.0,458.25,-108.4418264481119
18432,2304,18432,0,0,145.23316961366086,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0.0,0.0,0.16666666666666666,0.0,2.0,2.8333333333333335,0.0,0.0,443.8333333333333,-109.41237198853462
20480,2560,20480,61,30,153.5479870922814,61,61,30,30,5.254524626631717,5.253200487737528,0.04377299790713386,0.04607340641564033,0.032733917078881174,0.018276641557573296,0.3180094598258128,0.20769023492199476,0.21825942824609945,0.0,0.0,9.178397178649902,9.176002502441406,0.1317463517189026,50.03750228881836,0.5900222659111023,0.6558992862701416,-0.22772593895594279,-1.9128235816955566,0.030599806716813803,0.44081796355449043,0.001297226137600778,0.11076539332667987,0.0,-0.21118523180484772,0.003869969040247678,0.14853975176811218,2,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,464.0,-100.59368818063012
22528,2816,22528,317,158,155.29509754627773,256,256,128,128,5.258832058781991,5.273419264267432,0.04331475935077833,0.04292509397032518,0.03773973864525715,0.0677259925796534,0.3604421847849153,1.6507295348565094,1.284210089710541,0.0,0.0,12.628703117370605,12.667559623718262,1.3774062395095825,50.16828155517578,9.44625473022461,5.632166385650635,-0.22326695173978806,-2.0023389980196953,0.10936468491186414,0.5263564331633419,0.01188137464011654,0.0464835483871866,0.0,-0.10702395439147949,0.017048346055979643,0.15330860018730164,6,0.0,0.0,0.16666666666666666,0.0,2.5,2.6666666666666665,0.16666666666666666,0.0,472.8333333333333,-108.56123314253516
24576,3072,24576,573,286,156.90466871918466,256,256,128,128,4.624291596352123,4.663972927693976,0.0590577672682997,0.05866026361718468,0.04960936199665866,0.07388768525561318,0.3242839245358482,9.940026953816414,7.935986051335931,0.41015625,0.23046875,10.362813949584961,10.312247276306152,5.513545989990234,50.24696731567383,36.88550567626953,38.91412353515625,-0.2748944708146155,-1.8477413477376103,0.20332391869721778,0.5475272254655205,0.019108867540322743,0.093477540591266,0.0,-0.30388978123664856,0.02691107644305772,0.2481956034898758,3,0.0,0.0,0.6666666666666666,0.0,1.6666666666666667,2.3333333333333335,0.0,0.0,505.6666666666667,-104.88337228411426
26624,3328,26624,829,414,158.39915092489247,256,256,128,128,4.1042613494209945,4.088085901690647,0.05959591325236602,0.05884456490150569,0.048209073880002506,0.10099841101327911,0.3030506676295772,27.27528710104525,24.51126337610185,0.94921875,0.9609375,9.481340408325195,9.661250114440918,10.105375289916992,50.20943832397461,100.33689880371094,96.04175567626953,-0.2929165292298421,-1.7776798624545336,0.22870344129752385,0.5478920084760347,0.019896772293158563,0.1307960856356658,0.0,-0.3607833981513977,0.02753850169668494,0.3065984547138214,7,0.0,0.0,1.0,0.8571428571428571,2.4285714285714284,0.5714285714285714,0.5714285714285714,0.7142857142857143,497.7142857142857,-61.19603034044303
