update,env_steps,policy_loss,value_loss,entropy,approx_kl,clip_fraction,actor_grad_norm,advantage_mean,advantage_std,alive_actor_sample_fraction,env_steps_per_second,environment_step_seconds,policy_inference_seconds,ppo_update_seconds,evaluation_seconds,completed_episodes,red_complete_elimination_success_rate,blue_complete_elimination_success_rate,environment_red_outcome_rate,environment_blue_outcome_rate,draw_rate,mean_red_attack_kills,mean_blue_attack_kills,mean_red_survivors,mean_blue_survivors,mean_red_boundary_deaths,mean_red_collision_deaths,max_steps_rate,mean_episode_length,mean_episode_return
1,1024,0.0013840943186854322,2.4692221879959106,2.7569487492243447,0.010197386339617273,0.14857178833335638,0.49071530004342395,-0.529729962348938,1.5641939640045166,0.9348958333333334,78.15808266012492,4.190059699983976,0.15715950004960177,0.0639528000028804,8.67271150000306,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,2048,-0.003263825783506036,4.251675963401794,2.7583369612693787,0.0066703490835304064,0.09055218019057065,0.43403055146336555,-0.8387267589569092,1.960952877998352,0.8375651041666666,117.72043528004812,8.23917190002976,0.31332140005542897,0.1308537000004435,8.67271150000306,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,3072,0.0012649529380723834,18.50372552871704,2.758125444253286,0.0017438755476177903,0.012278479329931239,0.41453782096505165,-2.159787654876709,3.456028938293457,0.8030598958333334,141.69377855506676,12.21031680006854,0.46703900000284193,0.19456889999855775,8.67271150000306,8,0.0,0.375,0.0,1.0,0.0,0.0,2.25,0.0,3.0,0.75,0.0,0.0,291.5,-30.50406251224922
4,4096,-0.0008011077782915285,3.2701950669288635,2.758442302544912,0.00586429430162146,0.07868890712658565,0.36945749819278717,-0.44470542669296265,1.5474214553833008,0.7652994791666666,159.36743144529487,15.94979590002913,0.631041800013918,0.2784795000043232,8.67271150000306,1,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,213.0,-30.450000017881393
5,5120,-0.0002935327647719532,10.088401079177856,2.758538822333018,0.003634506133190977,0.03659456483243654,0.4459124058485031,-1.1693804264068604,2.6146275997161865,0.7779947916666666,172.44249267687633,19.65352080003504,0.7878734000114491,0.3351442000057432,8.67271150000306,6,0.0,0.5,0.0,1.0,0.0,0.0,2.1666666666666665,0.0,2.8333333333333335,0.6666666666666666,0.16666666666666666,0.0,304.1666666666667,-30.0
6,6144,-0.001968531015639504,10.884839296340942,2.758128583431244,0.0032499903246995623,0.0418601866501073,0.4249276965856552,-1.4168410301208496,2.9035253524780273,0.88671875,181.2953150133311,23.607845600010478,0.9366286999793374,0.3899892000044929,8.67271150000306,2,0.0,0.5,0.0,1.0,0.0,0.0,1.5,0.0,2.0,1.5,0.0,0.0,308.5,-30.0
7,7168,-0.002147814695490524,11.163100004196167,2.758491059144338,0.005457097979766938,0.06554982093318056,0.4512367285788059,-1.774219274520874,2.910917043685913,0.7750651041666666,188.04391005788793,27.570420499941974,1.0851267999460106,0.45874710000498453,8.67271150000306,3,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,2.3333333333333335,0.0,3.0,0.6666666666666666,0.0,0.0,275.0,-30.012499999720603
8,8192,-0.0004865102443242601,12.491999626159668,2.7604204217592874,0.0027870040382064567,0.016486776546419907,0.47022200624148053,-1.6886388063430786,3.0881576538085938,0.701171875,194.01811090856702,31.398388399938995,1.2334053999074968,0.5189057000097819,8.67271150000306,12,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,nan,0.0,105.66666666666667,nan
9,9216,-0.002822082824422978,4.267653942108154,2.760177751382192,0.005619812308493943,0.07591419791181882,0.4171033476789792,-0.5551027655601501,1.8295952081680298,0.8372395833333334,167.46296828384217,35.24647139987792,1.3822211998631246,0.5915867000148864,17.375994199996057,2,0.0,0.5,0.0,1.0,0.0,0.0,2.5,0.0,2.0,0.5,0.0,0.0,254.5,-30.0
10,10240,0.0010942353401333094,7.585767388343811,2.7609416445096335,0.002416177563039431,0.00991396838799119,0.3813040492435296,-1.0340920686721802,2.3530781269073486,0.8294270833333334,172.65395949375744,39.26368439986982,1.5342543998776819,0.6505437000159873,17.375994199996057,4,0.0,0.75,0.0,1.0,0.0,0.0,2.75,0.0,3.0,0.25,0.0,0.0,253.75,-30.19812500057742
11,11264,-0.0019902384839648826,10.3721022605896,2.7612111568450928,0.003585280209032741,0.03697140363510698,0.393014336625735,-1.2857637405395508,3.0836575031280518,0.8362630208333334,178.0547003292957,42.96379139988858,1.684122599865077,0.7150198000163073,17.375994199996057,2,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,346.5,-33.69375014444813
12,12288,-0.0020462668811281524,10.422048568725586,2.763839066028595,0.0020109259582087417,0.015804261900484562,0.4571550413966179,-1.4847874641418457,2.8380637168884277,0.7740885416666666,182.553651486422,46.75656869985687,1.827805899818486,0.7662499000143725,17.375994199996057,5,0.0,0.4,0.0,1.0,0.0,0.0,1.8,0.0,2.6,1.2,0.0,0.0,277.2,-30.059000000264497
13,13312,-0.001449649881881972,7.006306052207947,2.7653886477152505,0.005499550591390682,0.06863085192162544,0.49187803268432617,-0.6329144835472107,2.403534412384033,0.798828125,186.12747260427275,50.697716799862974,1.9744817997998325,0.8318517000152497,17.375994199996057,4,0.0,0.5,0.0,1.0,0.0,0.0,2.25,0.0,2.5,0.75,0.0,0.0,271.25,-34.633750264532864
14,14336,-0.0010531801963225007,5.933310627937317,2.766268531481425,0.0038755282933925056,0.038253393955528736,0.44960717608531314,-0.7378584742546082,2.254368305206299,0.8548177083333334,189.28284692936208,54.66830829986429,2.1195840997679625,0.8874562000128208,17.375994199996057,3,0.0,0.6666666666666666,0.0,1.0,0.0,0.0,2.6666666666666665,0.0,2.3333333333333335,0.3333333333333333,0.0,0.0,245.33333333333334,-31.250833373827238
15,15360,-0.0010401025841323037,13.38606572151184,2.7660317023595176,0.0025341883453414518,0.01742018898949027,0.3983912219603856,-1.2737693786621094,3.317957639694214,0.8564453125,192.01358184069431,58.58498539986613,2.274061099815299,0.9944037000095705,17.375994199996057,6,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,1.6666666666666667,0.0,2.3333333333333335,1.3333333333333333,0.0,0.0,292.8333333333333,-30.0
16,16384,-0.001743618476515015,7.350141525268555,2.7658746043841043,0.0035661602164286516,0.03828129426498587,0.4754091215630372,-0.8304715156555176,2.7211453914642334,0.7688802083333334,196.07528462780334,61.90765009990719,2.4233796997723402,1.0522439000123995,17.375994199996057,12,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,nan,0.0,84.41666666666667,nan
