update,env_steps,policy_loss,value_loss,entropy,approx_kl,clip_fraction,actor_grad_norm,advantage_mean,advantage_std,alive_actor_sample_fraction,current_learning_rate,current_entropy_coef,effective_log_std_mean,effective_std_mean,actor_epochs_completed,actor_minibatches_completed,kl_early_stop,max_minibatch_kl,env_steps_per_second,environment_step_seconds,policy_inference_seconds,ppo_update_seconds,evaluation_seconds,completed_episodes,red_complete_elimination_success_rate,blue_complete_elimination_success_rate,environment_red_outcome_rate,environment_blue_outcome_rate,draw_rate,mean_red_attack_kills,mean_blue_attack_kills,mean_red_survivors,mean_blue_survivors,mean_red_boundary_deaths,mean_red_boundary_altitude_deaths,mean_red_boundary_xy_deaths,mean_blue_boundary_altitude_deaths,mean_blue_boundary_xy_deaths,mean_red_collision_deaths,max_steps_rate,mean_episode_length,mean_episode_return,mean_rollout_approach_reward,mean_rollout_attack_advantage_reward,mean_rollout_threat_penalty,mean_rollout_soft_boundary_penalty,mean_rollout_friendly_separation_penalty,mean_rollout_head_on_risk_penalty,mean_rollout_dense_reward,mean_rollout_event_reward,mean_rollout_terminal_reward,mean_rollout_total_step_reward,mean_rollout_tactical_reward,mean_rollout_safety_penalty,mean_rollout_event_terminal_reward,eval_episodes,eval_red_complete_elimination_success_rate,eval_mean_red_attack_kills,eval_mean_blue_attack_kills,eval_mean_red_survivors,eval_mean_blue_survivors,eval_mean_red_boundary_deaths,eval_mean_red_boundary_altitude_deaths,eval_mean_red_boundary_xy_deaths,eval_draw_rate,eval_max_steps_rate
1,2048,-0.0037473711039638148,71.23673782348632,2.7589991251627604,0.0055152968349114475,0.0634614562150091,0.32731831769148506,-3.7795491218566895,7.848274230957031,0.7677408854166666,0.00029889407999999997,0.009963136000000001,-0.4981859624385834,0.6076328754425049,5,30,False,0.01036407332867384,59.924848582122635,2.7359489879891044,0.6850077402195893,0.479955616989173,30.166972380000516,3,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0,-79.65352384932339,0.004735775781789187,4.270708460515339e-05,0.0025509633587247186,2.0523297191051004e-08,3.333196274546424e-08,0.0,0.0012274656562567543,-0.185546875,-0.029296875,-0.21361628401905364,0.002227519507669621,5.385525993651524e-08,-0.21484375,,,,,,,,,,,
2,4096,-0.002867892625120779,111.21678161621094,2.7644293705622354,0.004031008015157033,0.041086018675317366,0.33332446962594986,-4.661133289337158,9.4749755859375,0.7001953125,0.00029778815999999996,0.009926272,-0.4966409206390381,0.6085736155509949,5,30,False,0.00768880033865571,108.02217387429926,5.6657868689944735,1.2227433410298545,0.6230888979916926,30.166972380000516,8,0.0,0.875,0.0,1.0,0.0,0.0,2.875,0.0,2.75,0.125,0.125,0.0,0.0,0.0,0.0,0.0,258.125,-81.42547895229384,0.0038236513992160326,2.9273148231923063e-05,0.002925177799056655,0.0002490250440579933,2.8360948556571675e-06,0.0,-0.0003241144061121304,-0.23193359375,-0.078125,-0.3103827078757604,0.0009277467483913004,0.0002518611389136505,-0.31005859375,,,,,,,,,,,
3,6144,-0.0008370368004155655,133.1106979370117,2.7706337610880536,0.003090370194695424,0.027164462635604045,0.3560786947607994,-5.690827369689941,10.9916353225708,0.6580403645833334,0.00029668223999999995,0.009889408,-0.4940274655818939,0.6101677417755127,5,30,False,0.006162943318486214,149.88795057092594,8.15750153499539,1.6038605209614616,0.7165052209893474,30.166972380000516,9,0.0,0.8888888888888888,0.0,1.0,0.0,0.0,2.888888888888889,0.0,2.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,254.77777777777777,-80.72545236219003,0.003665236226424895,3.832206359029658e-05,0.003038466881207569,0.0004087578524464286,0.0,0.0,-0.000743666452422076,-0.25390625,-0.087890625,-0.3425405437495783,0.0006650914088076228,0.0004087578524464286,-0.341796875,,,,,,,,,,,
4,8192,-0.0030841575004160403,163.72044677734374,2.7781776189804077,0.0037773811098960764,0.03556860676423336,0.304151314496994,-6.047107219696045,11.569462776184082,0.7413736979166666,0.00029557632,0.009852544,-0.4917006194591522,0.6115986704826355,5,30,False,0.00821797177195549,183.86905689928838,11.015394283036585,2.088057103945175,0.8182822899980238,30.166972380000516,10,0.0,0.7,0.0,1.0,0.0,0.0,2.7,0.0,2.8,0.3,0.3,0.0,0.0,0.0,0.0,0.0,222.0,-82.98870427448165,0.004336248940489895,4.1671552223121466e-05,0.002663270628090686,0.0004584525428300891,4.639824232050005e-05,0.0,0.00020979910749474584,-0.2978515625,-0.09765625,-0.39529800615821387,0.0017146498646223307,0.0005048507851505891,-0.3955078125,,,,,,,,,,,
5,10240,-0.005122781886408727,134.9333236694336,2.7862180709838866,0.005389406469788575,0.06766180985917648,0.30478940506776175,-5.1596574783325195,10.25043773651123,0.76513671875,0.0002944704,0.00981568,-0.488273561000824,0.6137033700942993,5,30,False,0.010776525363326073,212.056084037453,13.917612811012077,2.6890917018899927,0.9207187669962877,30.166972380000516,10,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.0,-79.92782258640572,0.004788381327671232,3.224351263375613e-05,0.0028543193993755267,1.3543673882954188e-06,0.0001705961812032107,0.0,0.0007943548991988791,-0.283203125,-0.09765625,-0.38006502440816803,0.001966305440929461,0.00017195054859150613,-0.380859375,,,,,,,,,,,
6,12288,-0.0038398800243157893,147.87391357421876,2.7942020416259767,0.005159209017214079,0.06161468607994417,0.3080285876989365,-5.041378021240234,11.112181663513184,0.7854817708333334,0.00029336448,0.009778816000000001,-0.4873863160610199,0.6142460703849792,5,30,False,0.013263688422739506,236.18368196706973,16.878582325094612,3.219184321744251,1.0420233749900945,30.166972380000516,12,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.83333333333334,-79.72409041977187,0.005192229264821435,2.8190663168923408e-05,0.0018343169757599753,2.2203311311058682e-06,3.17377651407047e-06,0.0,0.002380708833584322,-0.29296875,-0.1171875,-0.4077755361903428,0.0033861029522303833,5.394107645176338e-06,-0.41015625,,,,,,,,,,,
7,14336,-0.002112755073176231,135.2203582763672,2.795402773221334,0.003182546617393123,0.026681293236712613,0.27738781621058783,-4.930843353271484,10.322668075561523,0.7587890625,0.00029225856,0.009741952,-0.4867371916770935,0.6146487593650818,5,30,False,0.0057059056125581264,257.3923447545594,19.819766109081684,3.719834045637981,1.1533700049913023,30.166972380000516,9,0.0,0.6666666666666666,0.0,1.0,0.0,0.0,2.6666666666666665,0.0,2.7777777777777777,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,201.0,-83.07593368163873,0.00411210018046404,4.971925670305133e-05,0.0023622054195584496,0.0005607195149919253,3.181544677488546e-06,0.0,0.00023571294229896012,-0.3076171875,-0.087890625,-0.3952720969995198,0.0017996140176086417,0.0005639010596694138,-0.3955078125,,,,,,,,,,,
8,16384,-0.0033273987666082878,94.41244506835938,2.797201220194499,0.0036319670908268784,0.03796028189826757,0.30590124130249025,-4.513419151306152,8.870708465576172,0.6917317708333334,0.00029115263999999997,0.009705088,-0.4864811897277832,0.614814043045044,5,30,False,0.008506914600729942,275.844649500382,22.7091770372499,4.295925928745419,1.271675054988009,30.166972380000516,8,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.5,-80.02296638282314,0.0038050545763326227,3.1534228457568564e-05,0.002547376900565723,0.0,4.1566771453172e-06,0.0,0.00028505521277111256,-0.263671875,-0.078125,-0.3415118134491877,0.001289211904224468,4.1566771453172e-06,-0.341796875,,,,,,,,,,,
9,18432,-0.005097679875325412,109.87023849487305,2.7996387481689453,0.004449304083287946,0.04960247275109093,0.28122652843594553,-4.5966973304748535,10.196946144104004,0.7159830729166666,0.00029004671999999996,0.009668224,-0.48433923721313477,0.6161325573921204,5,30,False,0.009778168983757496,290.4670291786355,26.04142390518973,4.799443566851551,1.3828484609839506,30.166972380000516,8,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.0,-79.77048906673087,0.003993396487203427,4.758860525075348e-05,0.0021250378051718144,3.785784627377553e-05,1.640283075488025e-05,0.0,0.0008616865974886423,-0.25390625,-0.078125,-0.33116955655822267,0.0019159472872823657,5.426067702865578e-05,-0.33203125,,,,,,,,,,,
10,20480,-0.001737940545232656,62.581551742553714,2.8050721565882366,0.003914404224900514,0.03691556164994836,0.3467928647994995,-2.814800262451172,7.234241008758545,0.63134765625,0.00028894079999999996,0.00963136,-0.4841988980770111,0.6162356734275818,5,30,False,0.007193679455667734,305.64561234465356,28.774187386297854,5.375279893851257,1.5091462829877855,30.166972380000516,6,0.0,0.5,0.0,1.0,0.0,0.0,2.5,0.0,2.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,311.5,-85.28812601023189,0.002970685379295901,2.1067721508033488e-05,0.002060535089356108,0.0007027505545466051,1.7516639526871103e-05,0.0,-0.0007890491958733037,-0.1904296875,-0.05859375,-0.2498124891282032,0.0009312180114478263,0.0007202671940734762,-0.2490234375,,,,,,,,,,,
