update,env_steps,policy_loss,value_loss,entropy,approx_kl,clip_fraction,actor_grad_norm,advantage_mean,advantage_std,alive_actor_sample_fraction,current_learning_rate,current_entropy_coef,effective_log_std_mean,effective_std_mean,actor_epochs_completed,actor_minibatches_completed,kl_early_stop,max_minibatch_kl,env_steps_per_second,environment_step_seconds,policy_inference_seconds,ppo_update_seconds,evaluation_seconds,completed_episodes,red_complete_elimination_success_rate,blue_complete_elimination_success_rate,environment_red_outcome_rate,environment_blue_outcome_rate,draw_rate,mean_red_attack_kills,mean_blue_attack_kills,mean_red_survivors,mean_blue_survivors,mean_red_boundary_deaths,mean_red_boundary_altitude_deaths,mean_red_boundary_xy_deaths,mean_blue_boundary_altitude_deaths,mean_blue_boundary_xy_deaths,mean_red_collision_deaths,max_steps_rate,mean_episode_length,mean_episode_return,mean_rollout_approach_reward,mean_rollout_attack_advantage_reward,mean_rollout_threat_penalty,mean_rollout_soft_boundary_penalty,mean_rollout_friendly_separation_penalty,mean_rollout_head_on_risk_penalty,mean_rollout_dense_reward,mean_rollout_event_reward,mean_rollout_terminal_reward,mean_rollout_total_step_reward,mean_rollout_tactical_reward,mean_rollout_safety_penalty,mean_rollout_event_terminal_reward,eval_episodes,eval_red_complete_elimination_success_rate,eval_mean_red_attack_kills,eval_mean_blue_attack_kills,eval_mean_red_survivors,eval_mean_blue_survivors,eval_mean_red_boundary_deaths,eval_mean_red_boundary_altitude_deaths,eval_mean_red_boundary_xy_deaths,eval_draw_rate,eval_max_steps_rate
1,2048,-0.00372804815415293,71.23132057189942,2.7591243902842204,0.005551290364705564,0.06460114017439385,0.3321829120318095,-3.7795491218566895,7.848274230957031,0.7677408854166666,0.00029988940799999996,0.0099963136,-0.4980912208557129,0.6076903939247131,5,30,False,0.010487356223165989,60.44185074895312,2.7520796059980057,0.6008060481981374,0.4330706030013971,29.990492593991803,3,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0,-79.65352384932339,0.004735775781789187,4.270708460515339e-05,0.0025509633587247186,2.0523297191051004e-08,3.333196274546424e-08,0.0,0.0012274656562567543,-0.185546875,-0.029296875,-0.21361628401905364,0.002227519507669621,5.385525993651524e-08,-0.21484375,,,,,,,,,,,
2,4096,-0.0028529774261793744,112.56191177368164,2.7634556849797565,0.004070556254781224,0.04066176142077893,0.33024507761001587,-4.686921119689941,9.615135192871094,0.7008463541666666,0.000299778816,0.0099926272,-0.49752968549728394,0.6080345511436462,5,30,False,0.007023729849606752,109.3584368699547,5.644818896005745,1.0374014041008195,0.5484211089933524,29.990492593991803,8,0.0,0.875,0.0,1.0,0.0,0.0,2.875,0.0,2.75,0.125,0.125,0.0,0.0,0.0,0.0,0.0,257.625,-81.41883984050722,0.0038467884801320906,2.767583227730741e-05,0.0029184085798306114,0.0002473474280951238,1.4445250193922954e-07,0.0,-0.0002914361750754324,-0.23193359375,-0.078125,-0.31035003086640245,0.0009560557325787866,0.000247491880597063,-0.31005859375,,,,,,,,,,,
3,6144,-0.003371996727461616,127.39797821044922,2.763828905423482,0.0037816896556526636,0.035702163244908054,0.33190270215272905,-5.152112007141113,10.82313346862793,0.6642252604166666,0.000299668224,0.0099889408,-0.4977116286754608,0.6079220771789551,5,30,False,0.008398137055337429,151.19116826395734,8.215676291976706,1.4313384262204636,0.6546611349913292,29.990492593991803,9,0.0,0.8888888888888888,0.0,1.0,0.0,0.0,2.888888888888889,0.0,2.888888888888889,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,265.6666666666667,-80.78725646700917,0.0037647782824024034,3.036666453727025e-05,0.003164713330079394,0.0002586166524687211,0.0,0.0,-0.0006281850211564688,-0.234375,-0.087890625,-0.32289380534498946,0.0006304316168602797,0.0002586166524687211,-0.322265625,,,,,,,,,,,
4,8192,-0.003391298733185977,163.53982391357422,2.766043249766032,0.004530127786579976,0.0497422704162697,0.3040767172972361,-6.386218070983887,11.495756149291992,0.7267252604166666,0.00029955763199999996,0.0099852544,-0.4956941306591034,0.6091480851173401,5,30,False,0.007685160264372826,184.95848960790656,11.192434757089359,1.8629159891424933,0.7772119789879071,29.990492593991803,10,0.0,0.8,0.0,1.0,0.0,0.0,2.8,0.0,2.6,0.2,0.2,0.0,0.0,0.0,0.0,0.0,210.3,-82.01210020955514,0.004082702451341902,3.7974693743114685e-05,0.0028436940658593812,0.0005195013184032121,9.644063326638697e-06,0.0,-0.00025216229244051647,-0.322265625,-0.09765625,-0.42017403926320185,0.0012769830792256354,0.0005291453817298508,-0.419921875,,,,,,,,,,,
5,10240,-0.004232703600913131,133.00980377197266,2.772619636853536,0.004745060777037807,0.05143291267255942,0.3214806725581487,-4.999682426452637,10.799549102783203,0.7291666666666666,0.00029944704,0.009981568,-0.4940328001976013,0.610166072845459,5,30,False,0.009498597122728825,213.3395664132462,14.223549141228432,2.3052685600705445,0.8909343579871347,29.990492593991803,10,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.4,-79.88312828662902,0.00460452979132242,2.634935805276295e-05,0.002348782693616158,0.0001352239995362492,5.372427553845534e-06,0.0,0.001141500038556842,-0.25390625,-0.09765625,-0.3504210014468754,0.002282096455759025,0.00014059642709009473,-0.3515625,,,,,,,,,,,
6,12288,-0.004428304041114947,135.69976196289062,2.775505765279134,0.004700743507514077,0.052767289670494696,0.3328122151394685,-5.694414138793945,11.21196174621582,0.6806640625,0.000299336448,0.0099778816,-0.4934905767440796,0.6104984283447266,5,30,False,0.009319241158664227,238.30999869088927,16.945614884025417,2.9091472220025025,1.0045037529926049,29.990492593991803,9,0.0,0.8888888888888888,0.0,1.0,0.0,0.0,2.888888888888889,0.0,3.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,231.22222222222223,-80.94625315708367,0.0034596976109355637,2.230158793551859e-05,0.00227328319397202,0.00028582550979967813,2.1824993980401608e-05,0.0,-9.89345038533429e-05,-0.2880859375,-0.087890625,-0.3760754898361256,0.0012087160048990624,0.00030765050378007974,-0.3759765625,,,,,,,,,,,
7,14336,-0.0027287957054795697,150.3561233520508,2.7798160155614218,0.003850858456891845,0.0347898745482477,0.29057233159740764,-5.331396579742432,11.398538589477539,0.8089192708333334,0.00029922585599999996,0.009974195200000001,-0.49107784032821655,0.6119739413261414,5,30,False,0.00626891665160656,259.04532698330917,20.044113144933362,3.348757185944123,1.1297661349963164,29.990492593991803,9,0.0,0.8888888888888888,0.0,1.0,0.0,0.0,2.888888888888889,0.0,3.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,186.11111111111111,-80.72392459323802,0.0050883298317785375,2.4289971299440438e-05,0.002000499674522871,0.000205926955028201,2.8368509993859613e-07,0.0,0.0019059095046713992,-0.2978515625,-0.087890625,-0.3838362816301242,0.003112120128555107,0.0002062106401281396,-0.3857421875,,,,,,,,,,,
8,16384,-0.004146161143823216,115.89028701782226,2.787448493639628,0.004677675085709493,0.04909162974605958,0.3098757942517599,-4.913928031921387,10.225440979003906,0.6673177083333334,0.000299115264,0.0099705088,-0.4884795844554901,0.6135694980621338,5,30,False,0.007687165401875973,279.15369753668494,22.791655868844828,3.7336197779368376,1.2395732410077471,29.990492593991803,10,0.0,0.7,0.0,1.0,0.0,0.0,2.7,0.0,3.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,249.9,-83.14392402624944,0.003575035821995698,2.2493195422024215e-05,0.0023573641460643557,0.0008079289317238919,1.612924832528062e-05,0.0,-0.0005838933274162628,-0.2783203125,-0.09765625,-0.3765604547299972,0.0012401648713533664,0.0008240581800491725,-0.3759765625,,,,,,,,,,,
9,18432,-0.0028644822887144983,98.37357330322266,2.7934942642847695,0.003707739626130049,0.032012465371129416,0.2541084359089533,-3.8856937885284424,9.102575302124023,0.7552083333333334,0.000299004672,0.0099668224,-0.4870246648788452,0.6144676208496094,5,30,False,0.006264320574700832,295.81895635541736,25.77329106698744,4.157292313990183,1.3451988230081042,29.990492593991803,7,0.0,0.7142857142857143,0.0,1.0,0.0,0.0,2.7142857142857144,0.0,3.0,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,220.71428571428572,-82.79677114526723,0.004134326674829936,5.8532939057442945e-05,0.0021012911281559354,0.0003535912499648651,1.2911756160204763e-06,1.3796579896308003e-06,0.0007353063821824435,-0.244140625,-0.068359375,-0.3117646980863924,0.002091568485731443,0.0003562620835705164,-0.3125,,,,,,,,,,,
10,20480,-0.001291026718293627,75.07368927001953,2.7979730049769085,0.0029668168119795133,0.020637825736775993,0.28964486469825107,-2.744800567626953,7.857860565185547,0.7140299479166666,0.00029889407999999997,0.009963136000000001,-0.4854271113872528,0.615443229675293,5,30,False,0.004710038658231497,312.595102123091,28.380384100892115,4.542725753970444,1.4579572830116376,29.990492593991803,7,0.0,0.5714285714285714,0.0,1.0,0.0,0.0,2.5714285714285716,0.0,3.0,0.42857142857142855,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,288.14285714285717,-84.62010667803978,0.0030764732593979716,6.960610864598787e-06,0.0026466912372598017,0.000979869652245835,0.0,0.0,-0.0015431270184080859,-0.205078125,-0.068359375,-0.27498063007362816,0.00043674263300276864,0.000979869652245835,-0.2734375,,,,,,,,,,,
