update,env_steps,policy_loss,value_loss,entropy,approx_kl,clip_fraction,actor_grad_norm,advantage_mean,advantage_std,alive_actor_sample_fraction,env_steps_per_second,environment_step_seconds,policy_inference_seconds,ppo_update_seconds,evaluation_seconds,mean_rollout_tactical_reward,mean_rollout_safety_penalty,mean_rollout_event_terminal_reward,completed_episodes,red_complete_elimination_success_rate,blue_complete_elimination_success_rate,environment_red_outcome_rate,environment_blue_outcome_rate,draw_rate,mean_red_attack_kills,mean_blue_attack_kills,mean_red_survivors,mean_blue_survivors,mean_red_boundary_deaths,mean_red_collision_deaths,max_steps_rate,mean_episode_length,mean_episode_return
1,2048,-0.002029750169701098,39.78489303588867,2.757765865325928,0.004573224864710362,0.04969971488850812,0.2560773628453414,-1.8748544454574585,5.263998508453369,0.9435221354166666,94.58901301335152,3.900365836954734,0.7396207619894994,0.5199515470012557,16.400242114999855,-80.51694740379753,nan,nan,2,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,249.0,-80.51694740379753
2,4096,-0.003526914088676373,183.78619689941405,2.7550826549530028,0.003973477027586271,0.03532318981985251,0.28452673306067783,-5.391578674316406,10.698955535888672,0.83642578125,151.86562342762733,8.224673054959567,1.4488654589367798,0.6672586529966793,16.400242114999855,-89.84204725070522,nan,nan,10,0.0,0.5,0.0,1.0,0.0,0.0,2.1,0.0,2.4,0.9,0.0,0.0,254.7,-89.84204725070522
3,6144,-0.004201474633009639,125.00935821533203,2.7513792832692463,0.003907727325370311,0.04104824600120385,0.27665218015511833,-3.6850621700286865,8.797318458557129,0.8473307291666666,195.03465027739045,11.923005444841692,2.0465689719785587,0.7959859069960658,16.400242114999855,-92.11618308606012,nan,nan,8,0.0,0.375,0.0,1.0,0.0,0.0,1.875,0.0,2.25,1.125,0.0,0.0,266.75,-92.11618308606012
4,8192,-0.0030039958811054627,153.8151626586914,2.7525543212890624,0.0030637781790552755,0.029864403465762735,0.2501895288626353,-4.204585552215576,10.049880981445312,0.8839518229166666,225.431369972546,15.971165281829599,2.5785427100854577,0.9428789300000062,16.400242114999855,-92.2396085899129,nan,nan,8,0.0,0.5,0.0,1.0,0.0,0.0,1.875,0.0,2.0,1.125,0.0,0.0,277.25,-92.2396085899129
5,10240,-0.0030985780848520033,109.61675033569335,2.7499599059422812,0.003321979147244097,0.029975318031695983,0.2905653938651085,-4.398372650146484,8.178406715393066,0.83154296875,247.23558674392967,20.26235504190845,3.1230667761919904,1.0718786040015402,16.400242114999855,-81.69153916699806,nan,nan,9,0.0,0.8888888888888888,0.0,1.0,0.0,0.0,2.888888888888889,0.0,3.0,0.1111111111111111,0.0,0.0,243.0,-81.69153916699806
6,12288,-0.00445587402015614,96.66476440429688,2.7481356859207153,0.004320277733518254,0.04674619384265195,0.2880752588311831,-3.522378444671631,7.937657356262207,0.8818359375,264.8179762536036,24.413105809951958,3.7124439741819515,1.2072747660058667,16.400242114999855,-83.2180916988982,nan,nan,8,0.0,0.75,0.0,1.0,0.0,0.0,2.75,0.0,3.0,0.25,0.0,0.0,253.0,-83.2180916988982
7,14336,-0.0019146367015006641,124.9223388671875,2.751209362347921,0.0024343125175498265,0.018155041922970364,0.2478799079855283,-3.883068561553955,9.1823148727417,0.9051106770833334,279.11348387381537,28.549518074993102,4.287755602133984,1.3479717529990012,16.400242114999855,-92.39039981784299,nan,nan,7,0.0,0.42857142857142855,0.0,1.0,0.0,0.0,1.8571428571428572,0.0,2.4285714285714284,1.1428571428571428,0.0,0.0,271.14285714285717,-92.39039981784299
8,16384,-0.0028139185805836557,68.95553665161133,2.756649303436279,0.004406309078265408,0.04930565863226851,0.27160463283459346,-2.636582136154175,6.6271162033081055,0.82568359375,292.2808137478942,32.50428477401874,4.778093061162508,1.493440260994248,16.400242114999855,-84.9462907279693,nan,nan,7,0.0,0.7142857142857143,0.0,1.0,0.0,0.0,2.5714285714285716,0.0,2.7142857142857144,0.42857142857142855,0.0,0.0,252.85714285714286,-84.9462907279693
9,18432,-0.0028429806930944323,55.93235702514649,2.766968019803365,0.0034155438194232684,0.03125987955524276,0.2818252672751745,-1.7493371963500977,6.135688781738281,0.8577473958333334,303.26758035081684,36.4693755711196,5.302660806140921,1.6308679019930423,16.400242114999855,-91.42056935139499,nan,nan,4,0.0,0.25,0.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,320.25,-91.42056935139499
10,20480,-0.0022797606031720835,62.51734886169434,2.7722196102142336,0.004062380767512271,0.04464320780631776,0.28995685329039894,-1.698032021522522,6.179143905639648,0.8365885416666666,312.20264847177117,40.49502148117608,5.856077488148003,1.76564267998765,16.400242114999855,-84.42112727659878,nan,nan,8,0.0,0.75,0.0,1.0,0.0,0.0,2.625,0.0,2.75,0.375,0.0,0.0,307.625,-84.42112727659878
11,22528,-0.002855319157242775,81.29703292846679,2.776410460472107,0.004339619652588723,0.043076802510768175,0.31935173670450845,-2.1568892002105713,7.279230117797852,0.8756510416666666,321.05600416993497,44.21666693113366,6.439953756147588,1.9227097919938387,16.400242114999855,-92.56134262560434,nan,nan,7,0.0,0.2857142857142857,0.0,1.0,0.0,0.0,1.8571428571428572,0.0,2.4285714285714284,1.1428571428571428,0.0,0.0,308.85714285714283,-92.56134262560434
12,24576,-0.0023587451471636695,102.04784545898437,2.777211324373881,0.00393629229669001,0.04208533106526981,0.2746473332246145,-2.8479628562927246,8.533127784729004,0.8557942708333334,327.5656156593397,48.22724660915992,7.033231259076274,2.063843432988506,16.400242114999855,-89.69068311314368,nan,nan,8,0.0,0.5,0.0,1.0,0.0,0.0,2.125,0.0,2.25,0.875,0.0,0.0,282.625,-89.69068311314368
13,26624,-0.0028315690496431975,70.3563621520996,2.778793541590373,0.0034872081117612954,0.0308673392321604,0.29097264806429546,-2.0802125930786133,7.0187764167785645,0.86376953125,333.71656711832793,52.1483002921741,7.630688960052794,2.1945756019849796,16.400242114999855,-86.2609662425197,nan,nan,7,0.0,0.7142857142857143,0.0,1.0,0.0,0.0,2.4285714285714284,0.0,3.0,0.5714285714285714,0.0,0.0,281.0,-86.2609662425197
14,28672,-0.0021701914723962546,101.89530181884766,2.779014738400777,0.0024369647919600186,0.014805206268404921,0.23670518050591152,-2.609614849090576,8.46957778930664,0.8798828125,340.93560885129585,55.68753553318675,8.171231147985964,2.3275730429886607,16.400242114999855,-93.32658298149545,nan,nan,8,0.0,0.375,0.0,1.0,0.0,0.0,1.75,0.0,2.0,1.25,0.0,0.0,300.625,-93.32658298149545
15,30720,-0.004779895808314905,128.48498992919923,2.7881150245666504,0.00411286857278893,0.043261534278281034,0.23625992089509965,-3.024630308151245,10.008735656738281,0.9444986979166666,345.46516453129317,59.714507624172256,8.738229564994981,2.461503319987969,16.400242114999855,-105.17947107862274,nan,nan,5,0.0,0.0,0.0,1.0,0.0,0.0,0.6,0.0,1.4,2.4,0.0,0.0,304.6,-105.17947107862274
16,32768,-0.0020198807896425327,73.06476287841797,2.795938165982564,0.004228133639927209,0.04514328039561709,0.2650681883096695,-1.2156671285629272,7.555344104766846,0.8968098958333334,350.1082319756959,63.60447689623106,9.28007685006014,2.5952328229905106,16.400242114999855,-95.28530874828097,nan,nan,7,0.0,0.2857142857142857,0.0,1.0,0.0,0.0,1.5714285714285714,0.0,2.4285714285714284,1.4285714285714286,0.0,0.0,290.14285714285717,-95.28530874828097
17,34816,-0.0032839364061752955,138.82223052978514,2.8031001965204876,0.0035490743228561946,0.032491626163634164,0.26301094343264897,-2.4126250743865967,10.450676918029785,0.9456380208333334,352.47976667655985,67.99983516727661,9.821802439102612,2.7244478009888553,16.400242114999855,-98.70850694693945,nan,nan,8,0.0,0.0,0.0,1.0,0.0,0.0,1.25,0.0,2.5,1.75,0.0,0.0,304.875,-98.70850694693945
18,36864,-0.0014689934886215875,82.12644500732422,2.812476809819539,0.002363552400503488,0.015950346334526935,0.235545248289903,-1.0916273593902588,8.16935920715332,0.9381510416666666,355.6089653399831,72.1083658971911,10.37116256608715,2.8510834079861525,16.400242114999855,-96.94092297018506,nan,nan,5,0.0,0.4,0.0,1.0,0.0,0.0,1.4,0.0,2.2,1.6,0.0,0.0,268.4,-96.94092297018506
19,38912,-0.0038393767084926368,106.51591186523437,2.819165595372518,0.00377010724669308,0.04091222238882134,0.2794066096345584,-2.761538505554199,9.03268814086914,0.8455403645833334,358.50785073423145,76.18906250020518,10.926782790120342,2.978752340990468,16.400242114999855,-98.40685660315025,nan,nan,7,0.0,0.14285714285714285,0.0,1.0,0.0,0.0,1.2857142857142858,0.0,2.4285714285714284,1.7142857142857142,0.0,0.0,325.14285714285717,-98.40685660315025
20,40960,-0.0029793992677393057,73.78424606323242,2.826867930094401,0.003189554203624928,0.027732089829320707,0.2593556851148605,-1.4064263105392456,7.283422470092773,0.8486328125,361.48262665870647,80.19294023622933,11.455950518102327,3.1182764199911617,16.400242114999855,-97.78716560132852,nan,nan,6,0.0,0.0,0.0,1.0,0.0,0.0,1.3333333333333333,0.0,2.5,1.6666666666666667,0.0,0.0,336.8333333333333,-97.78716560132852
