update,env_steps,policy_loss,value_loss,entropy,approx_kl,clip_fraction,actor_grad_norm,advantage_mean,advantage_std,alive_actor_sample_fraction,env_steps_per_second,environment_step_seconds,policy_inference_seconds,ppo_update_seconds,evaluation_seconds,mean_rollout_tactical_reward,mean_rollout_safety_penalty,mean_rollout_event_terminal_reward,completed_episodes,red_complete_elimination_success_rate,blue_complete_elimination_success_rate,environment_red_outcome_rate,environment_blue_outcome_rate,draw_rate,mean_red_attack_kills,mean_blue_attack_kills,mean_red_survivors,mean_blue_survivors,mean_red_boundary_deaths,mean_red_collision_deaths,max_steps_rate,mean_episode_length,mean_episode_return
1,1024,0.0013281892364223797,10.083780407905579,2.7569377024968467,0.010182923443304995,0.14893942698836327,0.49050944795211154,-1.0498082637786865,3.140965461730957,0.9348958333333334,52.01265587790717,6.499450700022862,0.18535689998680027,0.0739257000022917,12.909842100001697,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,2048,-0.003058744555649658,17.674264192581177,2.7582735816637673,0.005813568549153085,0.07489328123241042,0.41362036764621735,-1.7686043977737427,3.9439468383789062,0.837890625,78.90651444747745,12.500791500082414,0.34653540002182126,0.1486765000008745,12.909842100001697,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,3072,0.0006518209023245921,218.40279006958008,2.7580429911613464,0.001613017383836753,0.011636814917437732,0.4242940582334995,-6.502865314483643,10.751382827758789,0.7916666666666666,95.69887958760687,18.320615300064674,0.5128852000561892,0.21765300000697607,12.909842100001697,-88.56956001028539,nan,nan,8,0.0,0.375,0.0,1.0,0.0,0.0,2.25,0.0,3.0,0.75,0.0,0.0,291.5,-88.56956001028539
4,4096,0.00041148260546227294,20.76952314376831,2.7583548029263816,0.0047318086920616525,0.05375392036512494,0.4548254447678725,-0.8960296511650085,3.507366418838501,0.7330729166666666,109.10767238439735,23.50013990003208,0.6707564000535058,0.2885095000092406,12.909842100001697,-80.6607191406656,nan,nan,1,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,211.0,-80.6607191406656
5,5120,-0.0014687702447796862,121.64108467102051,2.7589390675226846,0.0022688711417989302,0.019041051564272493,0.35354825605948764,-4.133003234863281,7.726301193237305,0.7607421875,117.86144776790232,29.0928527000724,0.841268200048944,0.346717800013721,12.909842100001697,-86.51020378326545,nan,nan,6,0.0,0.6666666666666666,0.0,1.0,0.0,0.0,2.3333333333333335,0.0,2.8333333333333335,0.5,0.16666666666666666,0.0,301.1666666666667,-86.51020378326545
6,6144,-0.0020952748406367996,47.671791076660156,2.7597724994023642,0.0026221115758744418,0.026980079341835033,0.38148051872849464,-2.699338436126709,5.615541934967041,0.833984375,124.60875078134606,34.71980700007407,1.0029966000874992,0.3920369000188657,12.909842100001697,-91.46746580593754,nan,nan,1,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,360.0,-91.46746580593754
7,7168,-0.0028154970689987144,133.91232681274414,2.7611223061879477,0.008148239384657549,0.11462648348727573,0.4793207148710887,-4.221182823181152,9.424513816833496,0.79296875,129.70297410945196,40.381515600092825,1.1550976000289666,0.46712250002019573,12.909842100001697,-84.83298670525255,nan,nan,5,0.0,0.6,0.0,1.0,0.0,0.0,2.6,0.0,2.6,0.4,0.0,0.0,270.2,-84.83298670525255
8,8192,-0.0019159222623178114,50.64459991455078,2.7632674972216287,0.0026687810586736305,0.02895712200552225,0.383144145210584,-3.0141608715057373,5.824130535125732,0.6868489583333334,134.0921521798572,45.929801500089525,1.3283881000388646,0.5358220000198344,12.909842100001697,-99.16331928656837,nan,nan,12,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,nan,0.0,118.08333333333333,nan
9,9216,-0.0015023204032331705,138.4572410583496,2.765414297580719,0.005388093201131852,0.07230952692528565,0.4163123505810897,-4.979109287261963,9.055685043334961,0.7291666666666666,115.52821971569803,51.20644010006072,1.5024000000339583,0.6400850000209175,25.95309350000025,-83.33880697925231,nan,nan,6,0.0,0.6666666666666666,0.0,1.0,0.0,0.0,2.6666666666666665,0.0,2.5,0.16666666666666666,0.16666666666666666,0.0,271.6666666666667,-83.33880697925231
10,10240,-0.0017917408452679713,51.9083833694458,2.767372409502665,0.004006726067018462,0.04695534042548388,0.40051089103023213,-2.1996850967407227,5.583724498748779,0.8098958333333334,119.34333678506147,56.98816950006585,1.6555837000050815,0.6882776000202284,25.95309350000025,-80.58680886300863,nan,nan,3,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,223.0,-80.58680886300863
11,11264,-0.00046928309590536327,181.23182678222656,2.7695828874905906,0.002185203403362685,0.016748116312858958,0.38559625918666524,-6.506474018096924,10.353114128112793,0.8141276041666666,123.23991055181024,62.34890660012752,1.780588900022849,0.7277130000147736,25.95309350000025,-80.52274601157296,nan,nan,7,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,202.57142857142858,-80.52274601157296
12,12288,-0.00016423493313292661,71.68128395080566,2.772051215171814,0.0014122345520141213,0.004063672056266417,0.37209058925509453,-3.122157335281372,6.825118064880371,0.7249348958333334,127.03122166191356,67.47095610010729,1.9159031000453979,0.7678294000143069,25.95309350000025,-87.47983025272818,nan,nan,3,0.0,0.6666666666666666,0.0,1.0,0.0,0.0,2.3333333333333335,0.0,2.3333333333333335,0.6666666666666666,0.0,0.0,256.3333333333333,-87.47983025272818
13,13312,-0.0015848935193692644,69.76511573791504,2.773760735988617,0.0031655955133592026,0.030102579641000677,0.46272049844264984,-3.961399793624878,6.628086090087891,0.7021484375,131.02868444880085,72.12152770008106,2.034769200035953,0.8177513000118779,25.95309350000025,-80.68092658053502,nan,nan,4,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,225.5,-80.68092658053502
14,14336,-0.0021201402463096506,93.38732147216797,2.776431600252787,0.00389956814104774,0.04587390106947472,0.45804641395807266,-4.76276969909668,8.691352844238281,0.6194661458333334,134.13778414802331,77.15715770002134,2.177838500101643,0.8714936000105808,25.95309350000025,-87.53439367922329,nan,nan,3,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,2.3333333333333335,0.0,1.6666666666666667,0.6666666666666666,0.0,0.0,297.0,-87.53439367922329
15,15360,0.00046342362960179645,111.36050033569336,2.7799530029296875,0.002709552948561169,0.01892289340806504,0.502055324614048,-5.30598258972168,8.463996887207031,0.6458333333333334,136.00556247874545,82.89499990006152,2.345171200140612,0.9487445000122534,25.95309350000025,-80.76150416272321,nan,nan,6,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,2.6666666666666665,0.0,0.0,0.0,251.5,-80.76150416272321
