update,env_steps,policy_loss,value_loss,entropy,approx_kl,clip_fraction,actor_grad_norm,advantage_mean,advantage_std,alive_actor_sample_fraction,current_learning_rate,current_entropy_coef,effective_log_std_mean,effective_std_mean,actor_epochs_completed,actor_minibatches_completed,kl_early_stop,max_minibatch_kl,env_steps_per_second,environment_step_seconds,policy_inference_seconds,ppo_update_seconds,evaluation_seconds,mean_rollout_tactical_reward,mean_rollout_safety_penalty,mean_rollout_event_terminal_reward,completed_episodes,red_complete_elimination_success_rate,blue_complete_elimination_success_rate,environment_red_outcome_rate,environment_blue_outcome_rate,draw_rate,mean_red_attack_kills,mean_blue_attack_kills,mean_red_survivors,mean_blue_survivors,mean_red_boundary_deaths,mean_red_collision_deaths,max_steps_rate,mean_episode_length,mean_episode_return
1,2048,-0.002026958655430159,39.69226760864258,2.7577880382537843,0.004585104268320145,0.04990433651643495,0.2568412390848001,-1.8605273962020874,5.260393142700195,0.9435221354166666,0.00029988940799999996,0.0099963136,-0.4997825026512146,0.60666823387146,5,30,False,0.0069031063467264175,117.86412696810952,3.014602697978262,0.9217172279313672,0.539393231010763,12.775177803996485,-80.30475776624007,nan,nan,2,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,249.0,-80.30475776624007
2,4096,-0.003951312271722903,183.5548080444336,2.755013624827067,0.004077986440763769,0.038870591499532266,0.28354652374982836,-5.379885196685791,10.708778381347656,0.8356119791666666,0.000299778816,0.0099926272,-0.501879870891571,0.6054012775421143,5,30,False,0.006601028144359589,195.48821586218955,5.725095202957164,1.535395471000811,0.6693122070137179,12.775177803996485,-89.57493504055392,nan,nan,10,0.0,0.5,0.0,1.0,0.0,0.0,2.1,0.0,2.4,0.9,0.0,0.0,254.5,-89.57493504055392
3,6144,-0.004313144157640636,120.61961135864257,2.7527063449223834,0.003364670156690297,0.03571691419153164,0.25897047519683836,-3.547199249267578,8.506328582763672,0.86474609375,0.000299668224,0.0099889408,-0.5000680685043335,0.6064985990524292,5,30,False,0.007886305451393127,251.55492531518337,8.350280274098623,2.12676065407868,0.8065008890262106,12.775177803996485,-91.86504347495088,nan,nan,8,0.0,0.375,0.0,1.0,0.0,0.0,1.875,0.0,2.25,1.125,0.0,0.0,265.5,-91.86504347495088
4,8192,-0.0032216536759127243,155.49992828369142,2.755532415707906,0.0035042387983006277,0.03823839999968186,0.26534330447514853,-4.35797643661499,10.25762939453125,0.8728841145833334,0.00029955763199999996,0.0099852544,-0.5016989707946777,0.6055058836936951,5,30,False,0.0069131143391132355,289.83667442291215,11.351255145971663,2.7299488712014863,0.9193101060227491,12.775177803996485,-91.83050673557273,nan,nan,8,0.0,0.5,0.0,1.0,0.0,0.0,1.875,0.0,2.0,1.125,0.0,0.0,268.75,-91.83050673557273
5,10240,-0.003480749499673645,101.34690475463867,2.7488449096679686,0.003943993837104435,0.0388581143381695,0.2870827774206797,-4.0751776695251465,8.149604797363281,0.8465169270833334,0.00029944704,0.009981568,-0.5034675598144531,0.6044443845748901,5,30,False,0.006938328500837088,320.8754107513994,14.22092211387644,3.2743564192351187,1.0397642550233286,12.775177803996485,-81.51661040406816,nan,nan,8,0.0,0.875,0.0,1.0,0.0,0.0,2.875,0.0,3.0,0.125,0.0,0.0,228.25,-81.51661040406816
6,12288,-0.004460437669573973,118.14553146362304,2.7460686445236204,0.005201891271569323,0.06246504365699366,0.29674237221479416,-4.164754867553711,8.861612319946289,0.849609375,0.000299336448,0.0099778816,-0.503633975982666,0.604348361492157,5,30,False,0.00925336591899395,344.6930113141772,17.13838304084493,3.8445501512032934,1.1718945060274564,12.775177803996485,-87.94585931129257,nan,nan,8,0.0,0.625,0.0,1.0,0.0,0.0,2.25,0.0,2.75,0.75,0.0,0.0,260.75,-87.94585931129257
7,14336,-0.0035192552177856365,123.21835250854492,2.74764355023702,0.0044924779916483025,0.04899280057288706,0.25218332360188167,-3.728512763977051,9.213221549987793,0.8893229166666666,0.00029922585599999996,0.009974195200000001,-0.5021557807922363,0.6052380204200745,5,30,False,0.007665677927434444,364.2095142937985,19.978214259826927,4.475815626297845,1.287071447019116,12.775177803996485,-87.60807722128266,nan,nan,9,0.0,0.6666666666666666,0.0,1.0,0.0,0.0,2.2222222222222223,0.0,2.4444444444444446,0.6666666666666666,0.1111111111111111,0.0,233.44444444444446,-87.60807722128266
8,16384,-0.0023485624114982784,106.46505889892578,2.7524126132329303,0.004066764710524815,0.04300831609871238,0.3215328698356946,-4.339405059814453,8.756949424743652,0.7985026041666666,0.000299115264,0.0099705088,-0.5011044144630432,0.6058770418167114,5,30,False,0.007615703158080578,380.9728749154951,22.85998621287581,5.003902746393578,1.4025643020140706,12.775177803996485,-84.08687587249051,nan,nan,8,0.0,0.875,0.0,1.0,0.0,0.0,2.625,0.0,2.75,0.375,0.0,0.0,247.625,-84.08687587249051
9,18432,-0.003049098428649207,103.11000518798828,2.754492259025574,0.0035670285507441667,0.036575293048129724,0.28821568687756854,-3.9746510982513428,9.435110092163086,0.7430013020833334,0.000299004672,0.0099668224,-0.5004119277000427,0.6063025593757629,5,30,False,0.00741453655064106,395.0674399630073,25.631445312901633,5.64179239749501,1.5202273140166653,12.775177803996485,-84.07355653378363,nan,nan,8,0.0,0.875,0.0,1.0,0.0,0.0,2.625,0.0,2.75,0.375,0.0,0.0,222.5,-84.07355653378363
10,20480,-0.0032859499340702316,95.53545303344727,2.756956672668457,0.004185708695451414,0.04541798842449983,0.3132430906097094,-4.025318622589111,8.406911849975586,0.7278645833333334,0.00029889407999999997,0.009963136000000001,-0.49945181608200073,0.6068850755691528,5,30,False,0.007946317084133625,407.29522207220924,28.293112496830872,6.347728138513048,1.6465346730110468,12.775177803996485,-84.40730865673405,nan,nan,10,0.0,0.7,0.0,1.0,0.0,0.0,2.6,0.0,2.6,0.4,0.0,0.0,229.8,-84.40730865673405
11,22528,-0.003350868879351765,118.6720817565918,2.7588589429855346,0.0034160642331604097,0.03700842800705383,0.24597398415207863,-2.9844064712524414,9.271879196166992,0.8717447916666666,0.00029878348799999995,0.0099594496,-0.49930065870285034,0.6069736480712891,5,30,False,0.006647580303251743,420.8163275672534,30.740764335831045,6.917637035570806,1.761846196008264,12.775177803996485,-93.33847138030035,nan,nan,8,0.0,0.25,0.0,1.0,0.0,0.0,1.75,0.0,1.75,1.25,0.0,0.0,267.75,-93.33847138030035
12,24576,-0.0035624440759420397,110.97609100341796,2.7615538835525513,0.004195210220547368,0.04498649646217624,0.26274019728104275,-3.633012533187866,9.136268615722656,0.8292643229166666,0.000298672896,0.0099557632,-0.49692606925964355,0.6084209680557251,5,30,False,0.007208264898508787,429.9253321326103,33.56326421884296,7.479796125597204,1.8863562740007183,12.775177803996485,-85.27625677335928,nan,nan,10,0.0,0.7,0.0,1.0,0.0,0.0,2.5,0.0,2.6,0.5,0.0,0.0,210.2,-85.27625677335928
13,26624,-0.0025935180912104745,120.96248931884766,2.7708858013153077,0.004236009954244059,0.0489273593450586,0.3456788435578346,-4.869659423828125,9.415454864501953,0.76025390625,0.00029856230399999997,0.009952076800000001,-0.4937991797924042,0.6103320717811584,5,30,False,0.010781190358102322,434.7693717209021,36.71748561870481,8.132869574503275,2.0182102380058495,12.775177803996485,-86.35186796363959,nan,nan,10,0.0,0.6,0.0,1.0,0.0,0.0,2.4,0.0,2.8,0.6,0.0,0.0,219.4,-86.35186796363959
