update,env_steps,policy_loss,value_loss,entropy,approx_kl,clip_fraction,actor_grad_norm,advantage_mean,advantage_std,alive_actor_sample_fraction,current_learning_rate,current_entropy_coef,effective_log_std_mean,effective_std_mean,actor_epochs_completed,actor_minibatches_completed,kl_early_stop,max_minibatch_kl,env_steps_per_second,environment_step_seconds,policy_inference_seconds,ppo_update_seconds,evaluation_seconds,mean_rollout_tactical_reward,mean_rollout_safety_penalty,mean_rollout_event_terminal_reward,completed_episodes,red_complete_elimination_success_rate,blue_complete_elimination_success_rate,environment_red_outcome_rate,environment_blue_outcome_rate,draw_rate,mean_red_attack_kills,mean_blue_attack_kills,mean_red_survivors,mean_blue_survivors,mean_red_boundary_deaths,mean_red_collision_deaths,max_steps_rate,mean_episode_length,mean_episode_return
1,1024,0.0012677283375523984,10.054232239723206,2.7569177746772766,0.009776148324211439,0.1417459755515059,0.481487271686395,-1.0384403467178345,3.1379048824310303,0.9348958333333334,0.00028312499999999996,0.0094375,-0.49966463446617126,0.6067344546318054,2,12,False,0.01767352782189846,76.32433169089174,4.514343299990287,0.09213050006655976,0.03149959999427665,8.764440300001297,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,2048,-0.0033484952315726937,17.63291358947754,2.7580220301946006,0.0061837607305884985,0.08398423334195589,0.417135098328193,-1.7468509674072266,3.942882776260376,0.8385416666666666,0.00026625,0.008875000000000001,-0.49972257018089294,0.6066998839378357,2,12,False,0.01124589703977108,113.5004702760858,8.976852999767289,0.18916590008302592,0.07594959999551065,8.764440300001297,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,3072,0.00032060684558625024,213.29534530639648,2.757642904917399,0.0022035145072247055,0.015497163908245662,0.4206405517955621,-6.1162214279174805,10.565207481384277,0.8043619791666666,0.000249375,0.0083125,-0.4996943473815918,0.606717586517334,2,12,False,0.004461368545889854,132.4217058712072,13.886879099853104,0.3093288000818575,0.13562570000067353,8.764440300001297,-88.24186108791281,nan,nan,8,0.0,0.375,0.0,1.0,0.0,0.0,2.25,0.0,3.0,0.75,0.0,0.0,291.625,-88.24186108791281
4,4096,-0.0017212857104217012,24.268226623535156,2.758221387863159,0.005522646167151307,0.0731445139972493,0.36962996050715446,-1.136335015296936,3.782533645629883,0.7646484375,0.00023249999999999999,0.00775,-0.4993688762187958,0.6069151759147644,2,12,False,0.011970673687756062,147.18438058657458,18.31511009973474,0.42990640009520575,0.18631370000366587,8.764440300001297,-80.24148172858986,nan,nan,1,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,206.0,-80.24148172858986
5,5120,-0.000959415299197038,124.68815231323242,2.7591821352640786,0.0022794985483821834,0.020523194611693423,0.38658834993839264,-3.8443048000335693,7.719998359680176,0.7779947916666666,0.000215625,0.0071874999999999994,-0.4989350736141205,0.6071791052818298,2,12,False,0.008071349933743477,158.48794477238468,22.5676644998166,0.5503914001019439,0.2323434999998426,8.764440300001297,-86.24614905782437,nan,nan,6,0.0,0.6666666666666666,0.0,1.0,0.0,0.0,2.3333333333333335,0.0,2.8333333333333335,0.5,0.16666666666666666,0.0,301.1666666666667,-86.24614905782437
6,6144,-0.002150204498320818,149.82693481445312,2.7612760066986084,0.0027819943639587237,0.030089166849696387,0.46835441639026004,-6.569642066955566,10.36963176727295,0.76171875,0.00019874999999999998,0.006625,-0.4980241358280182,0.6077322959899902,2,12,False,0.009105099365115166,166.43392013448658,26.971131199868978,0.6604205001640366,0.2879423999984283,8.764440300001297,-90.62319026693392,nan,nan,3,0.0,0.6666666666666666,0.0,1.0,0.0,0.0,2.0,0.0,2.3333333333333335,1.0,0.0,0.0,270.0,-90.62319026693392
7,7168,-0.000445486589645346,167.9654769897461,2.7634428342183432,0.0018540555189820059,0.013867305300664157,0.4480506628751755,-5.95743465423584,9.459269523620605,0.7991536458333334,0.000181875,0.0060625,-0.4975520074367523,0.6080186367034912,2,12,False,0.006284142844378948,168.662170977462,32.29770899990399,0.7883526001969585,0.3401898000010988,8.764440300001297,-81.54580180293642,nan,nan,7,0.0,0.7142857142857143,0.0,1.0,0.0,0.0,2.7142857142857144,0.0,2.7142857142857144,0.0,0.2857142857142857,0.0,188.42857142857142,-81.54580180293642
8,8192,-0.0005612210128068303,144.75011444091797,2.7644351919492087,0.0006536729449403145,0.0004177109415953358,0.38729730745156604,-6.299201488494873,9.500909805297852,0.791015625,0.000165,0.0055,-0.49734675884246826,0.6081429123878479,2,12,False,0.0023587611503899097,172.96840808248663,36.964901000013924,0.891784900217317,0.38403470000775997,8.764440300001297,-80.08093873457528,nan,nan,12,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,nan,0.0,83.08333333333333,nan
9,9216,-0.0001834961585700512,127.19829177856445,2.7647852500279746,0.000454155859613332,0.0,0.4881005783875783,-4.591561317443848,8.5194730758667,0.7623697916666666,0.000148125,0.004937499999999999,-0.4974506199359894,0.6080796122550964,2,12,False,0.0010407776571810246,149.310888450551,41.91738020001503,1.0119680002244422,0.4186967999994522,17.948348999998416,-80.13057467030532,nan,nan,7,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,185.42857142857142,-80.13057467030532
10,10240,-0.0013655063812620938,158.23086166381836,2.764667530854543,0.0012414468833072307,0.001728046821275105,0.4947694738705953,-6.191832542419434,9.9150972366333,0.7516276041666666,0.00013125000000000002,0.0043749999999999995,-0.49723854660987854,0.608208954334259,2,12,False,0.003084862604737282,154.51953796723475,46.24949120002566,1.1173788001469802,0.4632573999988381,17.948348999998416,-80.16182302500489,nan,nan,7,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,165.71428571428572,-80.16182302500489
11,11264,-9.820146563773353e-05,88.07817649841309,2.765133857727051,0.0006701784417254183,0.0005850497012337049,0.33902261406183243,-3.8144893646240234,8.038376808166504,0.8271484375,0.000114375,0.0038125,-0.49730193614959717,0.6081704497337341,2,12,False,0.0016822220059111714,158.64826137634262,50.785261400058516,1.2200198001082754,0.5201519999973243,17.948348999998416,-80.0335905693828,nan,nan,3,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,165.66666666666666,-80.0335905693828
12,12288,-0.00091642794238093,173.60451889038086,2.764795660972595,0.00034230157548757165,0.00047217763494700193,0.4188353878756364,-6.698907852172852,10.234992980957031,0.7001953125,9.750000000000001e-05,0.0032499999999999994,-0.4973750114440918,0.6081257462501526,2,12,False,0.0011624497128650546,162.5620950359515,55.15175150008872,1.3410193002055166,0.560655900000711,17.948348999998416,-81.82912136694462,nan,nan,7,0.0,0.8571428571428571,0.0,1.0,0.0,0.0,2.857142857142857,0.0,2.7142857142857144,0.14285714285714285,0.0,0.0,214.57142857142858,-81.82912136694462
