update,env_steps,phase,fixed_opponent_mode,red_policy_loss,red_entropy,red_approx_kl,red_clip_fraction,red_grad_norm,red_advantage_mean,red_advantage_std,red_advantage_nonzero_rate,blue_policy_loss,blue_entropy,blue_approx_kl,blue_clip_fraction,blue_grad_norm,blue_advantage_mean,blue_advantage_std,blue_advantage_nonzero_rate,value_loss,red_mean_episode_return,blue_mean_episode_return,mean_episode_length,red_win_rate,blue_win_rate,draw_rate,collision_rate,max_steps_rate,red_kill_rate,blue_kill_rate,boundary_rate,within_4000_rate,attack_distance_entry_rate,ata_gate_rate,aa_gate_rate,distance_and_ata_entry_rate,distance_and_aa_entry_rate,ata_and_aa_entry_rate,full_attack_envelope_entry_rate,mean_minimum_distance_violation,mean_minimum_ata_violation,mean_minimum_aa_violation,mean_minimum_combined_violation,attack_to_kill_conversion_rate,mean_reward_terminal,mean_reward_boundary,mean_reward_guide,mean_reward_position,mean_reward_threat,mean_reward_total,action_yaw_mean,action_yaw_std,action_yaw_min,action_yaw_max,action_pitch_mean,action_pitch_std,action_pitch_min,action_pitch_max,action_speed_mean,action_speed_std,action_speed_min,action_speed_max,yaw_rate_saturation_rate,pitch_rate_saturation_rate,acceleration_saturation_rate,nx_saturation_rate,nz_saturation_rate,phi_saturation_rate,acceleration_tracking_mae,acceleration_tracking_median,acceleration_tracking_p95,acceleration_tracking_max,pitch_rate_tracking_mae,pitch_rate_tracking_median,pitch_rate_tracking_p95,pitch_rate_tracking_max,yaw_rate_tracking_mae,yaw_rate_tracking_median,yaw_rate_tracking_p95,yaw_rate_tracking_max,mean_delta_yaw,mean_delta_pitch,mean_delta_speed,mean_yaw_error,mean_pitch_error,mean_speed_error,mean_unclipped_yaw_rate,mean_unclipped_pitch_rate,mean_unclipped_acceleration,mean_clipped_yaw_rate,mean_clipped_pitch_rate,mean_clipped_acceleration,mean_actual_yaw_rate,mean_actual_pitch_rate,mean_actual_acceleration,mean_nx,mean_nz,mean_phi,eval_win_rate,eval_mean_return,eval_full_attack_envelope_entry_rate
1,8192,straight_tail_chase,zero,-0.0009459390770643949,2.7566273689270018,0.0028254948934772982,0.01689453125,0.1333427369594574,4.284083843231201e-08,0.9999998807907104,1.0,nan,nan,nan,nan,nan,nan,nan,nan,0.02424656180664897,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.15668453823406736,0.4657764490356177,-0.96308434009552,0.9864386320114136,0.00815838873085184,0.47765145447656115,-0.985327959060669,0.9766915440559387,-0.07706132561993329,0.47887345476052495,-0.9750053286552429,0.9788998961448669,0.86328125,0.5445556640625,0.5924072265625,0.3609619140625,0.974609375,0.0,1.0151136266627292,0.0,4.250794519670174,4.873690437548723,0.1004496519842636,0.09854575699863237,0.18663032484939768,0.1937343401439059,0.15813226319027357,0.1746638836139323,0.21147233385541517,0.2212239591306974,0.4922388375627168,0.09389354507255947,-3.836275333747335,0.4922388375627168,0.09389354507255947,-3.836275333747335,0.4922388375627168,0.09389354507255947,-1.9181376668736676,0.09079977642954831,0.020067612257126673,-0.9873595668775401,0.04675432239709684,-0.026140523647295487,0.027754059785189023,-0.41165807035042884,0.25916079421539495,-0.021573361226921776,0.0,-9.285222222222222,0.0
2,16384,straight_tail_chase,zero,-0.0005616224720142782,2.7568098187446592,0.002741424435225781,0.02041015625,0.18185558542609215,1.1408701539039612e-08,0.9999999403953552,1.0,nan,nan,nan,nan,nan,nan,nan,nan,2.945520448684692,-8.151562508021016,7.37890619711834,332.1875,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,944.3889623351099,0.0,0.0,0.9455595926057352,0.0,0.0,-10.0,0.0,1.8484374999999982,0.0,-8.1515625,0.1540723717499688,0.4694492572387252,-0.963678240776062,0.9788355231285095,-0.015282416990260117,0.4741129718065412,-0.9879453778266907,0.9725615978240967,-0.059511932779745536,0.4782071621226409,-0.988012433052063,0.9725812673568726,0.863525390625,0.5091552734375,0.5955810546875,0.346923828125,0.9683837890625,0.0,1.0121363620619954,0.0,4.557530641947977,5.073024948163145,0.09341291382191849,0.09429093147130298,0.18586307706550065,0.19395000430650677,0.153343621255906,0.17018300207167647,0.2095476800069467,0.22207946798929312,0.48403247713848574,0.08590575365458282,-2.9742045489737547,0.48403247713848574,0.08590575365458282,-2.9742045489737547,0.48403247713848574,0.08590575365458282,-1.4871022744868774,0.08939393377296725,0.020859156986092624,-0.7750206769240755,0.0480513839623659,-0.0250145779629848,0.23711568513791978,-0.39452442968625145,0.18813308689390376,-0.03980282367743232,0.0,-9.285222222222222,0.0
3,24576,straight_tail_chase,zero,-0.002614892669953406,2.762433576583862,0.004888701347226743,0.06123046875,0.2516922622919083,-6.984919309616089e-09,0.9999999403953552,1.0,nan,nan,nan,nan,nan,nan,nan,nan,2.2702521800994875,-7.97625000984408,7.133124944171868,339.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,925.1415574740058,0.0,0.0,0.9254632631997686,0.0,0.0,-10.0,0.0,2.0237499999999966,0.0,-7.976250000000004,0.17663091812977427,0.4629514165012994,-0.9476392269134521,0.9887538552284241,0.02585088709220429,0.4798453452975396,-0.9773548245429993,0.9832646250724792,-0.05834768092580944,0.4718424689197157,-0.971123456954956,0.9790974259376526,0.8670654296875,0.499755859375,0.5792236328125,0.3470458984375,0.9686279296875,0.0,1.1105806584239597,0.0,4.421012263871433,5.0262759657663665,0.09604607479786577,0.0967027407816189,0.18767103088829654,0.19388717346258677,0.1550928372933421,0.16946559638492165,0.21160652728941182,0.22256608857102608,0.5549022181624008,0.12798212411168156,-2.9138960622627357,0.5549022181624008,0.12798212411168156,-2.9138960622627357,0.5549022181624008,0.12798212411168156,-1.4569480311313678,0.10332143442521559,0.03815358673637571,-0.8071442928051376,0.05436321193989664,-0.016399466096169994,0.30343636561882215,-0.4159050250783046,0.341605688957228,0.001632463470470278,0.0,-9.285222222222222,0.0
4,32768,straight_tail_chase,zero,-0.0017018265556544066,2.772848296165466,0.0044805154670029875,0.04873046875,0.19222186394035817,-7.450580596923828e-09,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,0.7235497266054154,-8.09166667672495,7.307499947026372,343.5833333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,945.5053427424715,0.0,0.0,0.9455414470921263,0.0,0.0,-10.0,0.0,1.9083333333333323,0.0,-8.091666666666667,0.16693871099549185,0.4673431081369273,-0.9621215462684631,0.9914699196815491,0.07132379852589565,0.47794324490739637,-0.9871618151664734,0.9876705408096313,-0.04987591685100412,0.4750892019310544,-0.9884031414985657,0.9828785061836243,0.8653564453125,0.5272216796875,0.5877685546875,0.38916015625,0.9718017578125,0.0,1.1340481132783733,2.220446049250313e-16,4.151298288299163,4.692110787194386,0.10412980240607687,0.10074359723828769,0.18355407419850558,0.19484063975578333,0.15941610784235083,0.17423414042057986,0.21176423477094675,0.22414626421632064,0.5244532611244759,0.15940545208519197,-2.4851014393608954,0.5244532611244759,0.15940545208519197,-2.4851014393608954,0.5244532611244759,0.15940545208519197,-1.2425507196804477,0.09685992976452182,0.04460926024566775,-0.6678742184773903,0.04954111051042253,-0.013957264396837973,0.4661738948009829,-0.43340638851380253,0.5627633286169386,0.01675227747371016,0.0,-9.285222222222222,0.0
5,40960,straight_tail_chase,zero,-0.002091503329575062,2.781090247631073,0.004783485477673821,0.054931640625,0.17740751430392265,-2.7939677238464355e-09,0.9999998807907104,1.0,nan,nan,nan,nan,nan,nan,nan,nan,0.9412674129009246,-7.076000000908971,5.803999897278845,372.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,922.0543738572902,0.0,0.0,0.924846910584123,0.0,0.0,-10.0,0.0,2.923999999999993,0.0,-7.076000000000008,0.14871624156939234,0.47474949864670235,-0.9682396650314331,0.9866284132003784,0.08191113325476351,0.47653609586183443,-0.9775813817977905,0.97969651222229,-0.06372693355976011,0.4719822727484851,-0.978778600692749,0.979947030544281,0.8636474609375,0.626708984375,0.5836181640625,0.287353515625,0.97607421875,0.0,0.6128015684194742,0.0,3.786505640615225,4.687275121907124,0.11119034216939165,0.1048258461899612,0.1888017783458783,0.19471760309970437,0.16345139410994552,0.17978116206235378,0.21411995590336896,0.22262134330698952,0.4672057032676464,0.13357088510027593,-3.1352356879362677,0.4672057032676464,0.13357088510027593,-3.1352356879362677,0.4672057032676464,0.13357088510027593,-1.5676178439681339,0.08914661793260947,0.04008371246274315,-0.8165144446417081,0.04486462305252602,-0.019356435151631282,-0.2037128762222339,-0.3377426231143508,0.6523813372538166,0.016353311211375787,0.0,-9.132444444444443,0.0
6,49152,straight_tail_chase,zero,-0.0015054725925438106,2.7859043955802916,0.003958511307428125,0.0428955078125,0.2371491864323616,-1.1175870895385742e-08,0.9999999403953552,1.0,nan,nan,nan,nan,nan,nan,nan,nan,1.2158995419740677,-6.7749999970818555,5.355499880357335,415.96666666666664,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,969.7011666362066,0.0,0.0,0.9707071267504782,0.0,0.0,-10.0,0.0,3.224999999999993,0.0,-6.775000000000008,0.20521153071732456,0.4620693521893076,-0.971214234828949,0.9891722202301025,0.1045735458024275,0.4809735558038285,-0.9783796072006226,0.9885168671607971,-0.0662365348854479,0.477393088057469,-0.9866049885749817,0.9601225852966309,0.873291015625,0.5599365234375,0.587646484375,0.3223876953125,0.977783203125,0.0,0.9624966196364202,0.0,4.177149154533772,4.784005764781579,0.10603509326646056,0.10234222346758438,0.18687332733961862,0.19347013100233487,0.1571218250822248,0.17274902009845722,0.2107901497746181,0.22011243188369034,0.6446908321219322,0.17787856961882487,-3.2606037501473586,0.6446908321219322,0.17787856961882487,-3.2606037501473586,0.6446908321219322,0.17787856961882487,-1.6303018750736793,0.11733237273656587,0.055143683860296756,-0.8559875887053892,0.06246441442511505,-0.00974319712171988,0.10650903093103095,-0.388768179549285,0.7014011336575002,0.002278717652351634,0.0,-9.132444444444443,0.0
7,57344,straight_tail_chase,zero,-0.005880262819118798,2.7853846907615663,0.009457352581375745,0.135888671875,0.24424463212490083,6.51925802230835e-09,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,0.11827725432813167,-7.096666681890686,5.91333325052013,403.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1071.180267233979,0.0,0.0,1.0738339008186084,0.0,0.0,-10.0,0.0,2.9033333333333284,0.0,-7.096666666666672,0.15528069207670825,0.46938671609234933,-0.9526531100273132,0.9796283841133118,0.14718118660485757,0.46900679725411887,-0.9724973440170288,0.9869011640548706,-0.05078199085670576,0.4783717699815733,-0.9888101816177368,0.9791275858879089,0.8612060546875,0.6734619140625,0.59619140625,0.251953125,0.9796142578125,0.0,0.4315567454430802,0.0,2.6334206034920244,4.453274705639231,0.11698247360625252,0.11860717044099194,0.18749503586247926,0.19409758524282536,0.163522027240423,0.17890911592429082,0.21113358322266912,0.221228343950399,0.48782852619183337,0.17877818924363215,-2.435684609687016,0.48782852619183337,0.17877818924363215,-2.435684609687016,0.48782852619183337,0.17877818924363215,-1.217842304843508,0.09046605984704012,0.0608047826230142,-0.659410608894234,0.04519538201743785,-0.010332420538237084,-0.2278538634511539,-0.27910725993690216,0.9464108215576786,0.03517602465976822,0.0,-9.132444444444443,0.0
8,65536,straight_tail_chase,zero,-0.002295235218480229,2.781980586051941,0.004880006046732888,0.05380859375,0.22309737019240855,3.725290298461914e-09,0.9999999403953552,1.0,nan,nan,nan,nan,nan,nan,nan,nan,0.7481076955795288,-4.835217386565131,3.1417389829116673,508.8695652173913,0.0,0.8695652173913043,0.13043478260869565,0.0,0.13043478260869565,0.0,0.0,0.8695652173913043,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,871.9555001395884,0.0,0.0,0.8721853785572797,0.0,0.0,-8.695652173913043,0.0,3.8604347826086847,0.0,-4.835217391304359,0.15106753154484664,0.47023679649897765,-0.983528733253479,0.9832239151000977,0.17375140976332304,0.47423684565472535,-0.9634832143783569,0.9968563318252563,-0.07342535098349146,0.47918275034974256,-0.9871646761894226,0.9733623266220093,0.8602294921875,0.6488037109375,0.5948486328125,0.2830810546875,0.9755859375,0.0,0.7436319343216187,0.0,3.79446313960243,4.6968978365579535,0.1144746838234033,0.1281436901048602,0.18920078483896666,0.19356182616308062,0.1569922560517062,0.17270216999120303,0.2132876908222783,0.22071851859883093,0.47459249622970295,0.21742927879576338,-3.4015909331847407,0.47459249622970295,0.21742927879576338,-3.4015909331847407,0.47459249622970295,0.21742927879576338,-1.7007954665923704,0.08798534752650317,0.07424431517234094,-0.932486523100188,0.04721608832165198,-0.0026456516609195636,-0.18885716818424061,-0.3052150882756731,1.0546573368943761,0.042843551249002174,0.0,-9.132444444444443,0.0
9,73728,straight_tail_chase,zero,-0.003553109522908926,2.779915714263916,0.005321369545708876,0.065380859375,0.19789825193583965,-9.313225746154785e-09,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,0.19423299953341483,2.5911110950013003,-5.056666862426533,594.4444444444445,0.0,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,775.6159936157188,0.0,0.0,0.7771210114160467,0.0,0.0,-3.3333333333333335,0.0,5.924444444444409,0.0,2.591111111111076,0.003942281025530292,0.48258466598740657,-0.9708358645439148,0.9926329851150513,0.27333810943796877,0.4539294415452644,-0.9624007344245911,0.9921848773956299,-0.03978364434854953,0.4838858391436379,-0.9797526001930237,0.9749336838722229,0.854736328125,0.725341796875,0.598876953125,0.1141357421875,0.982666015625,0.0,0.14437553186814403,0.0,1.081315073195559,4.248901466861032,0.13185963586479105,0.1642370377343781,0.19069636005195204,0.19478227107424795,0.17076711638072722,0.18781927711533628,0.21604156251788567,0.2224240434697543,0.01238503716591138,0.23465797737052668,-1.815735329787649,0.01238503716591138,0.23465797737052668,-1.815735329787649,0.01238503716591138,0.23465797737052668,-0.9078676648938245,0.0031791127761160525,0.10812414404813209,-0.49716872320230676,0.0014923378921464672,0.009848998515919877,-0.6078714901645899,0.04750976252384282,1.532114414264972,-0.009339505490799014,0.0,-9.132444444444443,0.0
10,81920,straight_tail_chase,zero,-0.0018689303658902645,2.781060290336609,0.00486046065489063,0.0547119140625,0.21155348420143127,9.313225746154785e-10,0.9999999403953552,1.0,nan,nan,nan,nan,nan,nan,nan,nan,2.031076949834824,4.201666684303847,-6.9938890792739885,562.5555555555555,0.05555555555555555,0.2777777777777778,0.6666666666666666,0.0,0.6666666666666666,0.05555555555555555,0.0,0.2777777777777778,1.0,0.05555555555555555,1.0,1.0,0.05555555555555555,0.05555555555555555,1.0,0.05555555555555555,696.7078066504782,0.0,0.0,0.6992800663140297,1.0,0.5555555555555556,-2.7777777777777777,0.0,6.423888888888857,0.0,4.201666666666634,-0.08132210103934767,0.48415614852007,-0.9833381772041321,0.9618622064590454,0.33290862471546134,0.4429048526531403,-0.9303156137466431,0.9926506280899048,0.050979516354694,0.4747341482039759,-0.9786962270736694,0.9716229438781738,0.85986328125,0.4718017578125,0.5701904296875,0.3297119140625,0.9609375,0.0,1.012454874223132,0.0,4.596029742889122,5.025274657580459,0.09586156914498847,0.0869394182361721,0.18563627942309666,0.19339164969564307,0.13670263360509935,0.14987385643158038,0.2083515811154225,0.21996760800497506,-0.2554808338776005,0.13165882667777928,2.9253683359339373,-0.2554808338776005,0.13165882667777928,2.9253683359339373,-0.2554808338776005,0.13165882667777928,1.4626841679669687,-0.05012212098217561,0.08701207192617974,0.6733683672658577,-0.03236052748880733,0.015674786491518603,-0.33908650695727416,0.3692498837345079,1.743309251740127,-0.07718383745976694,0.0,-9.087333333333333,0.0
