block,active_side,opponent_generation,red_kill_rate,blue_kill_rate,combat_decisive_rate,boundary_rate,collision_rate,mean_episode_length
0,red,0,0.0,0.011111111111111112,0.011111111111111112,0.9888888888888889,0.0,394.0
1,blue,0,0.022222222222222223,0.011111111111111112,0.03333333333333333,0.9666666666666667,0.0,479.14444444444445
2,red,1,0.022222222222222223,0.3888888888888889,0.4111111111111111,0.5888888888888889,0.0,371.23333333333335
3,blue,0,0.03333333333333333,0.45555555555555555,0.4888888888888889,0.5,0.011111111111111112,325.5777777777778
4,red,2,0.022222222222222223,0.5,0.5222222222222223,0.4777777777777778,0.0,311.55555555555554
5,blue,2,0.16666666666666666,0.03333333333333333,0.2,0.7,0.0,463.6111111111111
6,red,2,0.08888888888888889,0.0,0.08888888888888889,0.9,0.0,276.1666666666667
7,blue,4,0.18888888888888888,0.011111111111111112,0.2,0.7777777777777778,0.022222222222222223,223.36666666666667
8,red,4,0.2222222222222222,0.011111111111111112,0.23333333333333334,0.7666666666666667,0.0,224.57777777777778
9,blue,5,0.05555555555555555,0.1,0.15555555555555556,0.8333333333333334,0.011111111111111112,255.48888888888888
10,red,3,0.12222222222222222,0.0,0.12222222222222222,0.7333333333333333,0.022222222222222223,323.5444444444444
11,blue,6,0.07777777777777778,0.0,0.07777777777777778,0.9111111111111111,0.011111111111111112,422.8333333333333
12,red,3,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.0,402.9111111111111
13,blue,7,0.5222222222222223,0.0,0.5222222222222223,0.3333333333333333,0.0,417.3888888888889
14,red,7,0.0,0.07777777777777778,0.07777777777777778,0.9,0.011111111111111112,469.52222222222224
15,blue,8,0.05555555555555555,0.0,0.05555555555555555,0.9,0.044444444444444446,407.1777777777778
16,red,3,0.011111111111111112,0.12222222222222222,0.13333333333333333,0.8666666666666667,0.0,268.68888888888887
17,blue,9,0.03333333333333333,0.16666666666666666,0.2,0.7888888888888889,0.011111111111111112,250.3
18,red,6,0.03333333333333333,0.1,0.13333333333333333,0.8555555555555555,0.011111111111111112,254.0888888888889
19,blue,3,0.044444444444444446,0.08888888888888889,0.13333333333333333,0.8666666666666667,0.0,257.24444444444447
