update,env_steps,active_side,block_index,red_policy_loss,red_entropy,red_approx_kl,red_clip_fraction,red_grad_norm,red_advantage_mean,red_advantage_std,red_advantage_nonzero_rate,red_value_loss,red_critic_grad_norm,blue_policy_loss,blue_entropy,blue_approx_kl,blue_clip_fraction,blue_grad_norm,blue_advantage_mean,blue_advantage_std,blue_advantage_nonzero_rate,blue_value_loss,blue_critic_grad_norm,opponent_source_side,opponent_generation,opponent_is_latest,opponent_history_size,active_generation_before,active_generation_after,red_mean_episode_return,blue_mean_episode_return,mean_episode_length,red_outcome_win_rate,blue_outcome_win_rate,draw_rate,non_draw_rate,red_kill_rate,blue_kill_rate,combat_decisive_rate,red_boundary_loss_rate,blue_boundary_loss_rate,boundary_rate,altitude_boundary_rate,xy_boundary_rate,collision_rate,mutual_kill_rate,max_steps_rate,scenario_tail_chase_count,scenario_offset_head_on_count,scenario_crossing_count,tail_rear_red_count,tail_rear_blue_count,red_within_4000_rate,red_attack_distance_entry_rate,red_ata_gate_rate,red_aa_gate_rate,red_distance_and_ata_entry_rate,red_distance_and_aa_entry_rate,red_ata_and_aa_entry_rate,red_full_attack_envelope_entry_rate,red_yaw_rate_saturation_rate,red_pitch_rate_saturation_rate,red_acceleration_saturation_rate,red_nx_saturation_rate,red_nz_saturation_rate,red_phi_saturation_rate,red_acceleration_tracking_mae,red_acceleration_tracking_p95,red_pitch_rate_tracking_mae,red_pitch_rate_tracking_p95,red_yaw_rate_tracking_mae,red_yaw_rate_tracking_p95,red_action_yaw_mean,red_action_yaw_std,red_action_pitch_mean,red_action_pitch_std,red_action_speed_mean,red_action_speed_std,blue_within_4000_rate,blue_attack_distance_entry_rate,blue_ata_gate_rate,blue_aa_gate_rate,blue_distance_and_ata_entry_rate,blue_distance_and_aa_entry_rate,blue_ata_and_aa_entry_rate,blue_full_attack_envelope_entry_rate,blue_yaw_rate_saturation_rate,blue_pitch_rate_saturation_rate,blue_acceleration_saturation_rate,blue_nx_saturation_rate,blue_nz_saturation_rate,blue_phi_saturation_rate,blue_acceleration_tracking_mae,blue_acceleration_tracking_p95,blue_pitch_rate_tracking_mae,blue_pitch_rate_tracking_p95,blue_yaw_rate_tracking_mae,blue_yaw_rate_tracking_p95,blue_action_yaw_mean,blue_action_yaw_std,blue_action_pitch_mean,blue_action_pitch_std,blue_action_speed_mean,blue_action_speed_std,eval_red_outcome_win_rate,eval_blue_outcome_win_rate,eval_draw_rate,eval_non_draw_rate,eval_red_kill_rate,eval_blue_kill_rate,eval_combat_decisive_rate,eval_red_boundary_loss_rate,eval_blue_boundary_loss_rate,eval_boundary_rate,eval_altitude_boundary_rate,eval_xy_boundary_rate,eval_collision_rate,eval_mutual_kill_rate,eval_max_steps_rate,eval_mean_episode_length,eval_bilateral_kill_rate,eval_kill_imbalance,eval_red_within_4000_rate,eval_red_attack_distance_entry_rate,eval_red_ata_gate_rate,eval_red_aa_gate_rate,eval_red_distance_and_ata_entry_rate,eval_red_distance_and_aa_entry_rate,eval_red_ata_and_aa_entry_rate,eval_red_full_attack_envelope_entry_rate,eval_red_attack_to_kill_conversion_rate,eval_red_mean_minimum_distance,eval_red_mean_minimum_combined_violation,eval_blue_within_4000_rate,eval_blue_attack_distance_entry_rate,eval_blue_ata_gate_rate,eval_blue_aa_gate_rate,eval_blue_distance_and_ata_entry_rate,eval_blue_distance_and_aa_entry_rate,eval_blue_ata_and_aa_entry_rate,eval_blue_full_attack_envelope_entry_rate,eval_blue_attack_to_kill_conversion_rate,eval_blue_mean_minimum_distance,eval_blue_mean_minimum_combined_violation
1,8192,red,0,-0.002533661131747067,2.758360469341278,0.004127446227357723,0.04443359375,0.15830894373357296,-9.313225746154785e-10,1.0,1.0,1.2449100017547607,0.1813163934275508,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,blue,0,True,1,0,,-10.0,10.0,73.33333333333333,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,15,14,8,7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8607177734375,0.54150390625,0.6009521484375,0.3421630859375,0.966064453125,0.0,0.9822584449579652,4.334018626148718,0.09510205289978196,0.18271577963974858,0.15060776209537086,0.20583792813212412,0.12791854111872425,0.46964988865760177,-0.014397576281020008,0.4732557432962728,-0.05700743425157384,0.4837004932785186,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8614501953125,0.5401611328125,0.5927734375,0.3349609375,0.96435546875,0.0,0.9444213741490795,4.370944339111139,0.0935172008382042,0.18395279321624014,0.14906651285541997,0.20650132712109423,0.1297266002962587,0.47136087057626214,-0.012937664224800471,0.47698266716607984,-0.05496335387487861,0.47861891751890623,0.34444444444444444,0.6444444444444445,0.011111111111111112,0.9888888888888889,0.0,0.05555555555555555,0.05555555555555555,0.6,0.35555555555555557,0.9444444444444444,0.9444444444444444,0.0,0.0,0.0,0.0,372.8666666666667,0.0,0.05555555555555555,1.0,0.08888888888888889,0.6666666666666666,0.9444444444444444,0.0,0.03333333333333333,0.3333333333333333,0.0,0.0,1436.2726066771884,0.854801244312791,1.0,0.08888888888888889,1.0,1.0,0.05555555555555555,0.08888888888888889,0.6666666666666666,0.05555555555555555,1.0,1436.2726066771884,0.574251372964405
2,16384,red,0,-0.0016808914951980114,2.7649564862251284,0.0027159080185811036,0.025341796875,0.2053326867520809,-1.30385160446167e-08,1.0,1.0,1.8862491190433501,0.4759824834764004,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,blue,0,True,1,0,,-5.085135144936676,-3.7110811061653735,283.0,0.4864864864864865,0.5135135135135135,0.0,1.0,0.0,0.16216216216216217,0.16216216216216217,0.35135135135135137,0.4864864864864865,0.8378378378378378,0.8378378378378378,0.0,0.0,0.0,0.0,27,27,27,14,13,1.0,0.5945945945945946,0.5945945945945946,0.7837837837837838,0.0,0.43243243243243246,0.21621621621621623,0.0,0.864013671875,0.518798828125,0.5936279296875,0.3929443359375,0.9658203125,0.0,1.216258300821695,4.439612949997003,0.0911421491685532,0.18182769828191087,0.14633742480531736,0.20519910739906427,0.12676190659633946,0.47240117561778283,-0.008973099080243685,0.47979637859201835,-0.09352655235861462,0.47713748504447406,1.0,0.5945945945945946,0.7567567567567568,0.9459459459459459,0.2702702702702703,0.5945945945945946,0.35135135135135137,0.16216216216216217,0.861572265625,0.5198974609375,0.59130859375,0.370361328125,0.9627685546875,0.0,1.1216590344926134,4.463334633006156,0.09131810161932907,0.18242158176464282,0.14603356184559546,0.20447068016541983,0.1377130269776501,0.4664536020390383,-0.007821317544227213,0.47345687195600056,-0.07942312960690501,0.4733080048701734,0.34444444444444444,0.6444444444444445,0.011111111111111112,0.9888888888888889,0.0,0.05555555555555555,0.05555555555555555,0.6,0.35555555555555557,0.9444444444444444,0.9444444444444444,0.0,0.0,0.0,0.0,372.8666666666667,0.0,0.05555555555555555,1.0,0.08888888888888889,0.6666666666666666,0.9444444444444444,0.0,0.03333333333333333,0.3333333333333333,0.0,0.0,1436.2726066771884,0.854801244312791,1.0,0.08888888888888889,1.0,1.0,0.05555555555555555,0.08888888888888889,0.6666666666666666,0.05555555555555555,1.0,1436.2726066771884,0.574251372964405
3,24576,red,0,-0.0014563057804480195,2.772048735618591,0.0035728965056478048,0.0385986328125,0.2084910489618778,-7.450580596923828e-09,1.0,1.0,1.6259305953979493,0.4341468095779419,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,blue,0,True,1,0,,-6.199393960901282,-3.0160606194174653,296.1212121212121,0.42424242424242425,0.5454545454545454,0.030303030303030304,0.9696969696969697,0.0,0.15151515151515152,0.15151515151515152,0.42424242424242425,0.45454545454545453,0.8484848484848485,0.8484848484848485,0.0,0.0,0.0,0.0,38,38,38,19,19,1.0,0.696969696969697,0.5454545454545454,0.8181818181818182,0.06060606060606061,0.48484848484848486,0.18181818181818182,0.0,0.86865234375,0.4849853515625,0.5838623046875,0.40771484375,0.9599609375,0.0,1.3061234267019648,4.463865770833962,0.0864865984891397,0.1793547323266074,0.1408309585504564,0.20142360901240305,0.1289248581786211,0.47336350376692937,-0.00496477718199273,0.4763845826470134,-0.1056895545126082,0.4708673110853172,1.0,0.696969696969697,0.7878787878787878,0.9696969696969697,0.24242424242424243,0.696969696969697,0.3333333333333333,0.15151515151515152,0.863525390625,0.46435546875,0.5924072265625,0.3948974609375,0.958984375,0.0,1.3088878432303048,4.570310258832258,0.08423260193217721,0.17888007417313215,0.1393890579035992,0.20226489003081466,0.1373068249235736,0.47133194420830454,-0.017472258141637553,0.47628933100613413,-0.08639339143406488,0.4760151885405132,0.34444444444444444,0.6444444444444445,0.011111111111111112,0.9888888888888889,0.0,0.05555555555555555,0.05555555555555555,0.6,0.35555555555555557,0.9444444444444444,0.9444444444444444,0.0,0.0,0.0,0.0,372.8666666666667,0.0,0.05555555555555555,1.0,0.08888888888888889,0.6666666666666666,0.9444444444444444,0.0,0.03333333333333333,0.3333333333333333,0.0,0.0,1436.2726066771884,0.854801244312791,1.0,0.08888888888888889,1.0,1.0,0.05555555555555555,0.08888888888888889,0.6666666666666666,0.05555555555555555,1.0,1436.2726066771884,0.574251372964405
4,32768,red,0,-0.00010880992049351334,2.778188717365265,0.0014341786285513082,0.003857421875,0.15350707843899727,1.862645149230957e-09,0.9999999403953552,1.0,1.5981255233287812,0.37011822015047074,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,blue,0,True,1,0,,-7.009500016489377,-0.9370000052576264,264.7,0.3333333333333333,0.6666666666666666,0.0,1.0,0.0,0.23333333333333334,0.23333333333333334,0.43333333333333335,0.3333333333333333,0.7666666666666667,0.7666666666666667,0.0,0.0,0.0,0.0,48,48,48,24,24,1.0,0.7333333333333333,0.4666666666666667,0.7333333333333333,0.06666666666666667,0.5,0.1,0.0,0.8626708984375,0.4617919921875,0.5916748046875,0.3958740234375,0.958984375,0.0,1.325144679051832,4.507339521860567,0.08469481115058704,0.17992933937539224,0.13961587875790277,0.20304414750360048,0.12959194920814454,0.4721457023572519,-0.009394099500035225,0.474176768762834,-0.0699636411436444,0.4765740879281081,1.0,0.7333333333333333,0.8,0.9666666666666667,0.36666666666666664,0.7333333333333333,0.4,0.23333333333333334,0.8580322265625,0.4571533203125,0.60009765625,0.408447265625,0.959228515625,0.0,1.3533477141547883,4.565400858403114,0.08346792709516528,0.17850352859764587,0.13792613381655947,0.20194847661057816,0.13861121771580187,0.46652272450996,-0.012731763454226552,0.47240901619766573,-0.08417864737682024,0.47773465874786236,0.34444444444444444,0.6444444444444445,0.011111111111111112,0.9888888888888889,0.0,0.05555555555555555,0.05555555555555555,0.6,0.35555555555555557,0.9444444444444444,0.9444444444444444,0.0,0.0,0.0,0.0,372.8666666666667,0.0,0.05555555555555555,1.0,0.08888888888888889,0.6666666666666666,0.9444444444444444,0.0,0.03333333333333333,0.3333333333333333,0.0,0.0,1436.2726066771884,0.854801244312791,1.0,0.08888888888888889,1.0,1.0,0.05555555555555555,0.08888888888888889,0.6666666666666666,0.05555555555555555,1.0,1436.2726066771884,0.574251372964405
5,40960,red,0,-0.0012113536125980318,2.782657814025879,0.003238386393059045,0.0349609375,0.1584855228662491,9.313225746154785e-10,0.9999999403953552,1.0,1.2472952485084534,0.21791190542280675,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,blue,0,True,1,0,,-6.382115392909887,-2.038653864310338,251.34615384615384,0.34615384615384615,0.6153846153846154,0.038461538461538464,0.9615384615384616,0.0,0.23076923076923078,0.23076923076923078,0.38461538461538464,0.34615384615384615,0.7307692307692307,0.7307692307692307,0.0,0.038461538461538464,0.0,0.0,57,57,56,29,28,1.0,0.6538461538461539,0.46153846153846156,0.7307692307692307,0.0,0.38461538461538464,0.19230769230769232,0.0,0.857421875,0.4962158203125,0.598876953125,0.3768310546875,0.96533203125,0.0,1.149455663137874,4.493460177402728,0.09117096400192301,0.1824138059308876,0.14910135423544418,0.20689180874758578,0.12183883085732461,0.47527427371399683,-0.008790873921235232,0.47538936039221613,-0.06014252683954879,0.4820347202025897,1.0,0.6538461538461539,0.6538461538461539,0.8461538461538461,0.2692307692307692,0.6153846153846154,0.38461538461538464,0.23076923076923078,0.8616943359375,0.4820556640625,0.5963134765625,0.3970947265625,0.9613037109375,0.0,1.2366909283132024,4.5232673154164935,0.08553126707865033,0.17916919119352792,0.14033155531287378,0.20323745406193533,0.1300916751062573,0.4759769801138055,-0.021749678019038043,0.4797705646729686,-0.08199357254521544,0.4753515414224193,0.9111111111111111,0.08888888888888889,0.0,1.0,0.0,0.05555555555555555,0.05555555555555555,0.03333333333333333,0.9111111111111111,0.9444444444444444,0.9444444444444444,0.0,0.0,0.0,0.0,415.73333333333335,0.0,0.05555555555555555,1.0,0.1,0.9333333333333333,0.9444444444444444,0.0,0.03333333333333333,0.5888888888888889,0.0,0.0,1432.2078818096206,0.9056355359461206,1.0,0.1,0.9444444444444444,1.0,0.05555555555555555,0.1,0.6111111111111112,0.05555555555555555,1.0,1432.2078818096206,0.5633187516588491
6,49152,red,0,-0.0013754667714238166,2.787185537815094,0.0036985601676860825,0.0365966796875,0.17902653142809868,-7.450580596923828e-09,1.0,1.0,1.4469270527362823,0.28593395203351973,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,blue,0,True,1,0,,-6.339193551170249,-1.7214516352020925,265.7741935483871,0.3548387096774194,0.6451612903225806,0.0,1.0,0.0,0.22580645161290322,0.22580645161290322,0.41935483870967744,0.3548387096774194,0.7741935483870968,0.7741935483870968,0.0,0.0,0.0,0.0,67,67,67,34,33,1.0,0.7096774193548387,0.5161290322580645,0.7096774193548387,0.03225806451612903,0.4838709677419355,0.16129032258064516,0.0,0.859130859375,0.5186767578125,0.6016845703125,0.3702392578125,0.9625244140625,0.0,1.0979401119603287,4.411167814203436,0.0905807855264516,0.18061213720992228,0.14426191862927346,0.20505225365442764,0.12454150500522587,0.4753480148906674,-0.002727067967526864,0.48112392934345505,-0.07834578030610473,0.4836580095058461,1.0,0.7096774193548387,0.7419354838709677,0.9032258064516129,0.3225806451612903,0.6774193548387096,0.3870967741935484,0.22580645161290322,0.866943359375,0.5,0.58935546875,0.368408203125,0.96533203125,0.0,1.17225601382175,4.5056246200793115,0.09005835398586874,0.18234073068847528,0.14627765674937893,0.20426679049807103,0.13546693852596547,0.4734129880734743,-0.009565988960741123,0.4762115854789484,-0.07004110040771394,0.4756132521437714,0.9111111111111111,0.08888888888888889,0.0,1.0,0.0,0.05555555555555555,0.05555555555555555,0.03333333333333333,0.9111111111111111,0.9444444444444444,0.9444444444444444,0.0,0.0,0.0,0.0,415.73333333333335,0.0,0.05555555555555555,1.0,0.1,0.9333333333333333,0.9444444444444444,0.0,0.03333333333333333,0.5888888888888889,0.0,0.0,1432.2078818096206,0.9056355359461206,1.0,0.1,0.9444444444444444,1.0,0.05555555555555555,0.1,0.6111111111111112,0.05555555555555555,1.0,1432.2078818096206,0.5633187516588491
7,57344,red,0,-0.0025982834631577134,2.7922812342643737,0.004771386928041466,0.057080078125,0.18338126242160796,-1.3969838619232178e-09,0.9999999403953552,1.0,1.0720695346593856,0.266893969848752,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,blue,0,True,1,0,,-2.9465625133598223,-5.300000020884909,264.4375,0.65625,0.3125,0.03125,0.96875,0.03125,0.21875,0.25,0.125,0.65625,0.75,0.75,0.0,0.0,0.0,0.0,78,78,77,39,39,1.0,0.6875,0.5,0.78125,0.0625,0.46875,0.1875,0.03125,0.861572265625,0.5147705078125,0.595703125,0.3831787109375,0.9632568359375,0.0,1.1356511311801403,4.447674520364983,0.08843525665068537,0.18059476249226344,0.13887532671703282,0.2020746065314883,0.14469971895249145,0.47134120971121884,0.005678709303651885,0.4758701324443102,-0.10879708378539021,0.4763939528695995,1.0,0.6875,0.71875,0.875,0.25,0.65625,0.375,0.21875,0.8614501953125,0.5087890625,0.5953369140625,0.3526611328125,0.964111328125,0.0,1.100191393265192,4.465665672984756,0.09287589993558262,0.18350258878501488,0.14928429202609114,0.20651436360712055,0.13142686545568694,0.4744245213206371,0.004540811411590795,0.4762263739730386,-0.06254755938160983,0.4768878221767647,0.9111111111111111,0.08888888888888889,0.0,1.0,0.0,0.05555555555555555,0.05555555555555555,0.03333333333333333,0.9111111111111111,0.9444444444444444,0.9444444444444444,0.0,0.0,0.0,0.0,415.73333333333335,0.0,0.05555555555555555,1.0,0.1,0.9333333333333333,0.9444444444444444,0.0,0.03333333333333333,0.5888888888888889,0.0,0.0,1432.2078818096206,0.9056355359461206,1.0,0.1,0.9444444444444444,1.0,0.05555555555555555,0.1,0.6111111111111112,0.05555555555555555,1.0,1432.2078818096206,0.5633187516588491
8,65536,red,0,-0.0011281220009550451,2.80185626745224,0.0031513636422459967,0.0276611328125,0.19569714404642582,-3.725290298461914e-09,0.9999999403953552,1.0,1.2117116451263428,0.2065446238964796,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,blue,0,True,1,0,,-4.054583340831515,-3.8455555809713484,270.30555555555554,0.5833333333333334,0.4166666666666667,0.0,1.0,0.0,0.25,0.25,0.16666666666666666,0.5833333333333334,0.75,0.75,0.0,0.0,0.0,0.0,90,90,89,45,45,1.0,0.6944444444444444,0.5277777777777778,0.6944444444444444,0.05555555555555555,0.4444444444444444,0.16666666666666666,0.0,0.86572265625,0.5240478515625,0.587646484375,0.3712158203125,0.963623046875,0.0,1.1264964676564442,4.272903308132268,0.0910533770647955,0.17965219739728067,0.14026951544415153,0.20291596907018658,0.14980898856489944,0.4748801140853263,0.021949558013133696,0.4822943143722004,-0.07004242489981749,0.4771694069914963,1.0,0.6944444444444444,0.7777777777777778,0.9722222222222222,0.3333333333333333,0.6944444444444444,0.3888888888888889,0.25,0.8614501953125,0.4752197265625,0.59423828125,0.3836669921875,0.95849609375,0.0,1.2584614398262752,4.5881102865853345,0.08725785860481407,0.18225262583667234,0.14394248369837825,0.20441926359148338,0.14688848443314484,0.4675197320284541,-0.015382348891971986,0.4750647495244247,-0.0811113611063412,0.47568373065768876,0.9111111111111111,0.08888888888888889,0.0,1.0,0.0,0.05555555555555555,0.05555555555555555,0.03333333333333333,0.9111111111111111,0.9444444444444444,0.9444444444444444,0.0,0.0,0.0,0.0,415.73333333333335,0.0,0.05555555555555555,1.0,0.1,0.9333333333333333,0.9444444444444444,0.0,0.03333333333333333,0.5888888888888889,0.0,0.0,1432.2078818096206,0.9056355359461206,1.0,0.1,0.9444444444444444,1.0,0.05555555555555555,0.1,0.6111111111111112,0.05555555555555555,1.0,1432.2078818096206,0.5633187516588491
9,73728,red,0,-0.0010423764237202705,2.8065237283706663,0.0028521241940325124,0.024365234375,0.1509717907756567,1.0244548320770264e-08,1.0000001192092896,1.0,1.0869597673416138,0.1924092311412096,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,blue,0,True,1,0,,-4.624629641193207,-3.4998148311688393,256.037037037037,0.5185185185185185,0.4074074074074074,0.07407407407407407,0.9259259259259259,0.037037037037037035,0.25925925925925924,0.2962962962962963,0.2222222222222222,0.5555555555555556,0.7037037037037037,0.7037037037037037,0.0,0.0,0.0,0.0,99,99,98,50,49,1.0,0.6666666666666666,0.48148148148148145,0.7037037037037037,0.037037037037037035,0.37037037037037035,0.18518518518518517,0.037037037037037035,0.863037109375,0.554443359375,0.598388671875,0.35302734375,0.969970703125,0.0,0.9803828726167905,4.174270132951608,0.09985340506754545,0.18239401569138516,0.15191548597789523,0.20597538272344024,0.16740302149050734,0.4676385227280943,0.04767715720719323,0.48211440430824976,-0.053519672810022456,0.4815253716050359,1.0,0.6666666666666666,0.8148148148148148,0.9259259259259259,0.3333333333333333,0.6296296296296297,0.48148148148148145,0.25925925925925924,0.8533935546875,0.4990234375,0.5941162109375,0.3741455078125,0.96044921875,0.0,1.181977718726523,4.4876568528287315,0.08969885650897821,0.1805649554569105,0.14440592333230615,0.2031532433144708,0.1386573177739372,0.4664684319491736,-0.0017890499432553497,0.47493188692972965,-0.07466830608524688,0.4762678908045611,0.9111111111111111,0.08888888888888889,0.0,1.0,0.0,0.05555555555555555,0.05555555555555555,0.03333333333333333,0.9111111111111111,0.9444444444444444,0.9444444444444444,0.0,0.0,0.0,0.0,415.73333333333335,0.0,0.05555555555555555,1.0,0.1,0.9333333333333333,0.9444444444444444,0.0,0.03333333333333333,0.5888888888888889,0.0,0.0,1432.2078818096206,0.9056355359461206,1.0,0.1,0.9444444444444444,1.0,0.05555555555555555,0.1,0.6111111111111112,0.05555555555555555,1.0,1432.2078818096206,0.5633187516588491
10,81920,red,0,-0.0019516071304678916,2.809660291671753,0.004216498268942814,0.046826171875,0.15648634284734725,1.862645149230957e-09,0.9999998807907104,1.0,1.072695940732956,0.20926695168018342,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,blue,0,True,1,0,,-3.735500012648602,-3.2611666821253795,252.4,0.6,0.4,0.0,1.0,0.03333333333333333,0.3,0.3333333333333333,0.1,0.5666666666666667,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,109,109,108,55,54,1.0,0.7666666666666667,0.4666666666666667,0.6,0.06666666666666667,0.43333333333333335,0.13333333333333333,0.03333333333333333,0.8626708984375,0.5704345703125,0.595458984375,0.337158203125,0.972412109375,0.0,0.9316093699766816,4.0440859414787385,0.10311344298569274,0.18348539172082035,0.1568274993378635,0.20682689489654682,0.16017426602042306,0.4706341290568283,0.04752957382837053,0.47962071439051984,-0.03916177479867855,0.484190095070456,1.0,0.7666666666666667,0.7666666666666667,0.9333333333333333,0.3333333333333333,0.7333333333333333,0.43333333333333335,0.3,0.86767578125,0.4986572265625,0.5899658203125,0.3626708984375,0.962646484375,0.0,1.1349644866670898,4.525679919644467,0.08921695057010301,0.181422944584237,0.14438811964157447,0.20359545640811416,0.1393064097376211,0.47389602022521243,-0.0017178839124625256,0.4730972824857885,-0.07136167621685274,0.47159896927815737,0.9444444444444444,0.05555555555555555,0.0,1.0,0.044444444444444446,0.05555555555555555,0.1,0.0,0.9,0.9,0.9,0.0,0.0,0.0,0.0,376.6,0.044444444444444446,0.011111111111111106,1.0,0.2777777777777778,0.9444444444444444,0.9444444444444444,0.06666666666666667,0.2,0.6666666666666666,0.044444444444444446,1.0,1225.3814431252913,0.5918668926607933,1.0,0.2777777777777778,0.8333333333333334,0.9555555555555556,0.05555555555555555,0.2111111111111111,0.5,0.05555555555555555,1.0,1225.3814431252913,0.5023848541020534
