update,env_steps,active_side,block_index,red_policy_loss,red_entropy,red_approx_kl,red_clip_fraction,red_grad_norm,red_advantage_mean,red_advantage_std,red_advantage_nonzero_rate,red_value_loss,red_critic_grad_norm,blue_policy_loss,blue_entropy,blue_approx_kl,blue_clip_fraction,blue_grad_norm,blue_advantage_mean,blue_advantage_std,blue_advantage_nonzero_rate,blue_value_loss,blue_critic_grad_norm,opponent_source_side,opponent_generation,opponent_is_latest,opponent_history_size,active_generation_before,active_generation_after,red_mean_episode_return,blue_mean_episode_return,mean_episode_length,red_outcome_win_rate,blue_outcome_win_rate,draw_rate,non_draw_rate,red_kill_rate,blue_kill_rate,combat_decisive_rate,red_boundary_loss_rate,blue_boundary_loss_rate,boundary_rate,altitude_boundary_rate,xy_boundary_rate,collision_rate,mutual_kill_rate,max_steps_rate,scenario_tail_chase_count,scenario_offset_head_on_count,scenario_crossing_count,tail_rear_red_count,tail_rear_blue_count,red_within_4000_rate,red_attack_distance_entry_rate,red_ata_gate_rate,red_aa_gate_rate,red_distance_and_ata_entry_rate,red_distance_and_aa_entry_rate,red_ata_and_aa_entry_rate,red_full_attack_envelope_entry_rate,red_yaw_rate_saturation_rate,red_pitch_rate_saturation_rate,red_acceleration_saturation_rate,red_nx_saturation_rate,red_nz_saturation_rate,red_phi_saturation_rate,red_acceleration_tracking_mae,red_acceleration_tracking_p95,red_pitch_rate_tracking_mae,red_pitch_rate_tracking_p95,red_yaw_rate_tracking_mae,red_yaw_rate_tracking_p95,red_action_yaw_mean,red_action_yaw_std,red_action_pitch_mean,red_action_pitch_std,red_action_speed_mean,red_action_speed_std,blue_within_4000_rate,blue_attack_distance_entry_rate,blue_ata_gate_rate,blue_aa_gate_rate,blue_distance_and_ata_entry_rate,blue_distance_and_aa_entry_rate,blue_ata_and_aa_entry_rate,blue_full_attack_envelope_entry_rate,blue_yaw_rate_saturation_rate,blue_pitch_rate_saturation_rate,blue_acceleration_saturation_rate,blue_nx_saturation_rate,blue_nz_saturation_rate,blue_phi_saturation_rate,blue_acceleration_tracking_mae,blue_acceleration_tracking_p95,blue_pitch_rate_tracking_mae,blue_pitch_rate_tracking_p95,blue_yaw_rate_tracking_mae,blue_yaw_rate_tracking_p95,blue_action_yaw_mean,blue_action_yaw_std,blue_action_pitch_mean,blue_action_pitch_std,blue_action_speed_mean,blue_action_speed_std,eval_red_outcome_win_rate,eval_blue_outcome_win_rate,eval_draw_rate,eval_non_draw_rate,eval_red_kill_rate,eval_blue_kill_rate,eval_combat_decisive_rate,eval_red_boundary_loss_rate,eval_blue_boundary_loss_rate,eval_boundary_rate,eval_altitude_boundary_rate,eval_xy_boundary_rate,eval_collision_rate,eval_mutual_kill_rate,eval_max_steps_rate,eval_mean_episode_length,eval_bilateral_kill_rate,eval_kill_imbalance,eval_red_within_4000_rate,eval_red_attack_distance_entry_rate,eval_red_ata_gate_rate,eval_red_aa_gate_rate,eval_red_distance_and_ata_entry_rate,eval_red_distance_and_aa_entry_rate,eval_red_ata_and_aa_entry_rate,eval_red_full_attack_envelope_entry_rate,eval_red_attack_to_kill_conversion_rate,eval_red_mean_minimum_distance,eval_red_mean_minimum_combined_violation,eval_blue_within_4000_rate,eval_blue_attack_distance_entry_rate,eval_blue_ata_gate_rate,eval_blue_aa_gate_rate,eval_blue_distance_and_ata_entry_rate,eval_blue_distance_and_aa_entry_rate,eval_blue_ata_and_aa_entry_rate,eval_blue_full_attack_envelope_entry_rate,eval_blue_attack_to_kill_conversion_rate,eval_blue_mean_minimum_distance,eval_blue_mean_minimum_combined_violation
1,128,red,0,-0.0053021544590592384,2.7572654485702515,0.0010482429061084986,0.0,0.5240646302700043,6.239861249923706e-08,0.9999999403953552,1.0,0.28104008734226227,0.7760950922966003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,blue,0,True,1,0,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,1,0,1,0,nan,nan,nan,nan,nan,nan,nan,nan,0.875,0.7265625,0.5859375,0.0546875,0.9921875,0.0,0.029999130182621396,0.08938494110719478,0.11686180773362251,0.18927971570285215,0.17423409740038107,0.21312875564906003,0.12358928292815108,0.46000968464665926,-0.00615327150808298,0.4817885720417531,0.02931040697149001,0.46413055800549774,nan,nan,nan,nan,nan,nan,nan,nan,0.875,0.6953125,0.578125,0.0859375,0.9765625,0.0,0.037487154344688495,0.2527021341733879,0.11318695211045726,0.18920297790571616,0.1695133456852191,0.21327555763777276,0.12554008035658626,0.47895113538836037,0.013849442220816854,0.46193921355634115,-0.01136309358116705,0.4577930353029033,0.4166666666666667,0.5833333333333334,0.0,1.0,0.0,0.08333333333333333,0.08333333333333333,0.5,0.4166666666666667,0.9166666666666666,0.9166666666666666,0.0,0.0,0.0,0.0,371.9166666666667,0.0,0.08333333333333333,1.0,0.08333333333333333,0.6666666666666666,0.9166666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,1465.5998847866347,0.8856945385979301,1.0,0.08333333333333333,1.0,1.0,0.08333333333333333,0.08333333333333333,0.6666666666666666,0.08333333333333333,1.0,1465.5998847866347,0.5915822783959741
2,256,red,0,-0.0022642947733402252,2.758569598197937,0.00039318110793828964,0.0,0.8470871150493622,2.7939677238464355e-09,0.9999997615814209,1.0,0.0025258667301386595,0.055208273231983185,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,blue,0,True,1,0,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,1,0,1,0,nan,nan,nan,nan,nan,nan,nan,nan,0.8203125,0.5625,0.6796875,0.453125,0.9765625,0.0,1.0119005340293055,3.4266002637664,0.09400344563149898,0.18318823423311,0.14984747582085808,0.2103930853144998,0.07119286835040839,0.45230747520917114,-0.11227413505548611,0.4779128069746222,-0.0800765365947882,0.5027484154214639,nan,nan,nan,nan,nan,nan,nan,nan,0.90625,0.6796875,0.59375,0.4140625,0.984375,0.0,0.8543862031659225,3.4789676218673873,0.1010562487781789,0.17760282330406385,0.15813081973592424,0.19873069946042324,0.11872923254122725,0.49151016355061633,-0.10155220587330405,0.4791561207975364,-0.07798776854201606,0.46798652876620406,0.4166666666666667,0.5833333333333334,0.0,1.0,0.0,0.08333333333333333,0.08333333333333333,0.5,0.4166666666666667,0.9166666666666666,0.9166666666666666,0.0,0.0,0.0,0.0,371.9166666666667,0.0,0.08333333333333333,1.0,0.08333333333333333,0.6666666666666666,0.9166666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,1465.5998847866347,0.8856945385979301,1.0,0.08333333333333333,1.0,1.0,0.08333333333333333,0.08333333333333333,0.6666666666666666,0.08333333333333333,1.0,1465.5998847866347,0.5915822783959741
3,384,red,0,-0.002843710593879223,2.759965419769287,0.00070618512108922,0.0,0.6194353997707367,-8.009374141693115e-08,0.9999979734420776,1.0,0.0005844939005328342,0.05655357800424099,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,blue,0,True,1,0,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,1,0,1,0,nan,nan,nan,nan,nan,nan,nan,nan,0.90625,0.359375,0.6953125,0.578125,0.96875,0.0,2.211949325668609,4.457597886079234,0.07749958751498626,0.16743105568439098,0.13965053302850078,0.19872036709261945,0.05942974275239976,0.4865047471577426,0.03252454233415847,0.46849975267041427,-0.16237098109195358,0.514778758893346,nan,nan,nan,nan,nan,nan,nan,nan,0.828125,0.3984375,0.5625,0.5,0.9609375,0.0,1.6586935878530435,4.443392606583709,0.08661785849354503,0.16310621001580047,0.13310159712236516,0.18628105843574916,0.11282120119722094,0.4752939804410511,0.03552263570782088,0.4437400499489224,-0.1128048376267543,0.45816843062606133,0.4166666666666667,0.5833333333333334,0.0,1.0,0.0,0.08333333333333333,0.08333333333333333,0.5,0.4166666666666667,0.9166666666666666,0.9166666666666666,0.0,0.0,0.0,0.0,371.9166666666667,0.0,0.08333333333333333,1.0,0.08333333333333333,0.6666666666666666,0.9166666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,1465.5998847866347,0.8856945385979301,1.0,0.08333333333333333,1.0,1.0,0.08333333333333333,0.08333333333333333,0.6666666666666666,0.08333333333333333,1.0,1465.5998847866347,0.5915822783959741
4,512,red,0,-0.0043463073670864105,2.760688304901123,0.0008040326647460461,0.0,0.7276113033294678,1.862645149230957e-09,0.9999986886978149,1.0,0.0003473927063168958,0.04421089217066765,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,blue,0,True,1,0,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,1,0,1,0,nan,nan,nan,nan,nan,nan,nan,nan,0.8515625,0.453125,0.59375,0.515625,0.96875,0.0,1.878433463302128,4.262831206767126,0.09226616454525464,0.16806827240754046,0.14044713551333707,0.1985861927926579,0.16518747557165625,0.4143761939701892,0.08787415430560941,0.5093174098057262,-0.11983768442951259,0.4699956952465571,nan,nan,nan,nan,nan,nan,nan,nan,0.8671875,0.3359375,0.625,0.5078125,0.9375,0.0,1.9079432363287534,4.510907252088986,0.06972483946794944,0.16021137368972035,0.12435336735697589,0.18771422039041627,0.12687297191769176,0.44990713849248326,0.0017650765003054403,0.47862194069384656,-0.09645969091798179,0.5133181256481005,0.4166666666666667,0.5833333333333334,0.0,1.0,0.0,0.08333333333333333,0.08333333333333333,0.5,0.4166666666666667,0.9166666666666666,0.9166666666666666,0.0,0.0,0.0,0.0,371.9166666666667,0.0,0.08333333333333333,1.0,0.08333333333333333,0.6666666666666666,0.9166666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,1465.5998847866347,0.8856945385979301,1.0,0.08333333333333333,1.0,1.0,0.08333333333333333,0.08333333333333333,0.6666666666666666,0.08333333333333333,1.0,1465.5998847866347,0.5915822783959741
5,640,red,0,-0.006745666265487671,2.7612072229385376,0.0011932866182178259,0.00390625,0.9444533884525299,1.0058283805847168e-07,0.9999986886978149,1.0,0.00021853309590369463,0.03699140343815088,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,blue,0,True,1,0,,0.0,-10.0,318.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,1,1,1,0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.84375,0.421875,0.5859375,0.453125,0.9609375,0.0,1.5768548809065202,4.35269432851235,0.09022563631997316,0.17105945175805384,0.14401717646004625,0.20192916906295888,0.054907052261114586,0.45811127795155276,0.07882693533429119,0.493585896952528,-0.018196354947576765,0.47703390732523165,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8515625,0.40625,0.609375,0.484375,0.9375,0.0,1.842397019668173,4.562977117763856,0.07852911801675325,0.16528057793137996,0.1315470857366398,0.19415144318180189,0.07951464598590974,0.4549598782200355,-0.006379557716172712,0.47992872020152216,-0.0901786750764586,0.4741129652642651,0.9166666666666666,0.08333333333333333,0.0,1.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.0,0.0,0.0,0.0,383.0,0.0,0.08333333333333333,1.0,0.08333333333333333,0.5,0.9166666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,1381.988177431839,0.9741039342662354,1.0,0.08333333333333333,0.8333333333333334,1.0,0.08333333333333333,0.08333333333333333,0.5,0.08333333333333333,1.0,1381.988177431839,0.6056968133106775
6,768,red,0,-0.0008856076747179031,2.7617268562316895,0.0005444642156362534,0.0,0.39375071227550507,2.2351741790771484e-08,0.9999999403953552,1.0,2.2333234548568726,1.0530326962471008,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,blue,0,True,1,0,,-6.299999978393316,-5.45000015757978,323.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2,1,1,1,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.8359375,0.671875,0.6640625,0.078125,0.96875,0.0,0.03226747439925619,0.2554881387940329,0.10830772733418553,0.1857804885277702,0.16172215627119862,0.20924856440362696,0.048926952479632746,0.4882171720319618,0.03454534265620168,0.46978499184729533,0.19775275536085246,0.4634066898431035,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.734375,0.546875,0.125,0.9765625,0.0,0.15699362249393933,0.8075628228562455,0.11850250529512066,0.18737707450208851,0.1745613532218713,0.21111815546707152,0.12666739827363926,0.465985493496598,0.04069326569151599,0.47140602786300595,-0.009918058596667834,0.4615675301606565,0.9166666666666666,0.08333333333333333,0.0,1.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.0,0.0,0.0,0.0,383.0,0.0,0.08333333333333333,1.0,0.08333333333333333,0.5,0.9166666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,1381.988177431839,0.9741039342662354,1.0,0.08333333333333333,0.8333333333333334,1.0,0.08333333333333333,0.08333333333333333,0.5,0.08333333333333333,1.0,1381.988177431839,0.6056968133106775
7,896,red,0,-0.001089237630367279,2.762643337249756,0.0004918728955090046,0.0,0.470001220703125,-5.587935447692871e-09,1.0,1.0,5.941318511962891,2.484384298324585,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,blue,0,True,1,0,,-10.0,10.0,83.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.7265625,0.625,0.2421875,0.984375,0.0,0.2742884088201235,1.5379492795920886,0.11940689884154924,0.18645620435613772,0.16973498696382627,0.21108427856191922,0.08849819526949432,0.4889371916488722,0.07907937974323431,0.5005499807039809,0.026561524412954896,0.48399835524219936,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.890625,0.65625,0.59375,0.265625,0.984375,0.0,0.45744453809093233,2.6102189872032544,0.10472706534137376,0.18089937563306707,0.16582877070523516,0.20318008987025496,0.12744908611057326,0.46748371867308747,-0.014965886577556375,0.4692040339791469,-0.05504994413968234,0.47906560468487197,0.9166666666666666,0.08333333333333333,0.0,1.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.0,0.0,0.0,0.0,383.0,0.0,0.08333333333333333,1.0,0.08333333333333333,0.5,0.9166666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,1381.988177431839,0.9741039342662354,1.0,0.08333333333333333,0.8333333333333334,1.0,0.08333333333333333,0.08333333333333333,0.5,0.08333333333333333,1.0,1381.988177431839,0.6056968133106775
8,1024,red,0,-0.0014430703595280647,2.7630480527877808,0.00039424188435077667,0.0,0.42457012832164764,7.450580596923828e-09,0.9999991655349731,1.0,0.0003872389061143622,0.0368714933283627,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,blue,0,True,1,0,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,2,1,1,1,nan,nan,nan,nan,nan,nan,nan,nan,0.8828125,0.625,0.5390625,0.140625,0.9765625,0.0,0.2512837346226937,2.3968261210081896,0.11981306408484045,0.18845398009598896,0.17354512469786526,0.21306421957436836,0.05365319857628492,0.48951475819441853,0.12957051097328076,0.4622541349784186,0.091424890957569,0.4601206126704206,nan,nan,nan,nan,nan,nan,nan,nan,0.8984375,0.3984375,0.578125,0.46875,0.953125,0.0,1.3119254518835257,4.495132977450059,0.07647269775955141,0.17638027727373048,0.14027031978283552,0.19705273342069385,0.251000557844236,0.4655000372256151,-0.06944013770407764,0.42751692260907076,-0.0801785891817417,0.46748371574817044,0.9166666666666666,0.08333333333333333,0.0,1.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.0,0.0,0.0,0.0,383.0,0.0,0.08333333333333333,1.0,0.08333333333333333,0.5,0.9166666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,1381.988177431839,0.9741039342662354,1.0,0.08333333333333333,0.8333333333333334,1.0,0.08333333333333333,0.08333333333333333,0.5,0.08333333333333333,1.0,1381.988177431839,0.6056968133106775
9,1152,red,0,-0.001087212935090065,2.7633708715438843,0.0003959452733397484,0.0,0.8581548035144806,-1.5832483768463135e-08,0.9999991059303284,1.0,0.0003947559671360068,0.041244166903197765,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,blue,0,True,1,0,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,2,1,1,1,nan,nan,nan,nan,nan,nan,nan,nan,0.8828125,0.609375,0.671875,0.28125,0.9921875,0.0,0.5310935118888714,3.4041473974981784,0.12709159604916567,0.19129404354850996,0.18272424516171892,0.21974122376679067,0.06458012480470643,0.4831318985438697,0.12408836266718026,0.4579389124252121,0.11511634515227342,0.47297235247069647,nan,nan,nan,nan,nan,nan,nan,nan,0.859375,0.3125,0.5625,0.5234375,0.9296875,0.0,2.1190174537332087,4.652562292013682,0.06058029246613937,0.15641264157950494,0.11757285619101726,0.18335728798555032,0.1519391481015191,0.48211475618089256,-0.036472316151957784,0.49505583839982326,-0.15662869289008086,0.45617265856087597,0.9166666666666666,0.08333333333333333,0.0,1.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.0,0.0,0.0,0.0,383.0,0.0,0.08333333333333333,1.0,0.08333333333333333,0.5,0.9166666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,1381.988177431839,0.9741039342662354,1.0,0.08333333333333333,0.8333333333333334,1.0,0.08333333333333333,0.08333333333333333,0.5,0.08333333333333333,1.0,1381.988177431839,0.6056968133106775
10,1280,red,0,-0.0007386663928627968,2.763734221458435,0.00037685688585042953,0.0,0.4328531175851822,-3.91155481338501e-08,0.9999985098838806,1.0,0.00049287335423287,0.05942118912935257,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,blue,0,True,1,0,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,2,1,1,1,nan,nan,nan,nan,nan,nan,nan,nan,0.8828125,0.6171875,0.5234375,0.1640625,0.9765625,0.0,0.29793883131981536,1.8157301625449198,0.13519105405038923,0.1955442348134645,0.19062726737731508,0.23018444578600955,0.06168039005933679,0.49424743168930685,0.181365880364865,0.47150309175327193,0.1936752056790283,0.41256755924258104,nan,nan,nan,nan,nan,nan,nan,nan,0.828125,0.34375,0.5625,0.5390625,0.9296875,0.0,2.123261725115989,4.658323208964609,0.06160928771794389,0.15588683717512802,0.11382957852514905,0.18250715791439448,0.17394905184482923,0.4778415095441186,-0.05720393295996473,0.45628932202353956,-0.15715654571249615,0.4420953376640583,0.9166666666666666,0.08333333333333333,0.0,1.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.0,0.0,0.0,0.0,385.1666666666667,0.0,0.08333333333333333,1.0,0.08333333333333333,0.5,0.9166666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,1415.499391586745,0.9627974641491258,1.0,0.08333333333333333,0.8333333333333334,1.0,0.08333333333333333,0.08333333333333333,0.5,0.08333333333333333,1.0,1415.499391586745,0.681715268856713
